Attributes,Close,High,Low,Open,Volume
Symbols,^SPX,^SPX,^SPX,^SPX,^SPX
Date,,,,,
2002-05-20,1091.88,1106.59,1090.61,1106.59,549888889
2002-05-17,1106.59,1106.59,1096.77,1098.23,708000000
2002-05-16,1098.23,1099.29,1089.17,1091.07,698111111
2002-05-15,1091.07,1104.23,1088.94,1097.28,789000000
2002-05-14,1097.28,1097.71,1074.56,1074.56,785833333
2002-05-13,1074.56,1074.84,1053.9,1054.99,604777778
2002-05-10,1054.99,1075.43,1053.93,1073.01,651055556
2002-05-09,1073.01,1088.85,1072.23,1088.85,640555556
2002-05-08,1088.85,1088.92,1049.49,1049.49,834444444
2002-05-07,1049.49,1058.67,1048.96,1052.67,752611111
2002-05-06,1052.67,1075.96,1052.65,1073.43,623666667
2002-05-03,1073.43,1084.56,1068.89,1084.56,713611111
2002-05-02,1084.56,1091.42,1079.46,1086.46,757777778
2002-05-01,1086.46,1088.32,1065.29,1076.92,806333333
2002-04-30,1076.92,1082.62,1063.46,1065.45,904777778
2002-04-29,1065.45,1078.95,1063.62,1076.32,730388889
2002-04-26,1076.32,1096.77,1076.31,1091.48,763444444
2002-04-25,1091.48,1094.36,1084.81,1093.14,843000000
2002-04-24,1093.14,1108.46,1092.51,1100.96,762888889
2002-04-23,1100.96,1111.17,1098.94,1107.83,771388889
2002-04-22,1107.83,1125.17,1105.62,1125.17,656555556
2002-04-19,1125.17,1128.82,1122.59,1124.47,658333333
2002-04-18,1124.47,1130.49,1109.29,1126.07,755166667
2002-04-17,1126.07,1133.0,1123.37,1128.37,764944444
2002-04-16,1128.37,1129.4,1102.55,1102.55,745166667
2002-04-15,1102.55,1114.86,1099.41,1111.01,622444444
2002-04-12,1111.01,1112.77,1102.74,1103.69,712277778
2002-04-11,1103.69,1130.47,1102.42,1130.47,836444444
2002-04-10,1130.47,1131.76,1117.8,1117.8,804388889
2002-04-09,1117.8,1128.29,1116.73,1125.29,686333333
2002-04-08,1125.29,1125.41,1111.79,1122.73,608500000
2002-04-05,1122.73,1133.31,1119.49,1126.34,616777778
2002-04-04,1126.34,1130.45,1120.06,1125.4,713222222
2002-04-03,1125.4,1138.85,1119.68,1136.76,677611111
2002-04-02,1136.76,1146.54,1135.71,1146.54,653722222
2002-04-01,1146.54,1147.84,1132.87,1147.39,583833333
2002-03-28,1147.39,1154.45,1144.58,1144.58,637555556
2002-03-27,1144.58,1146.95,1135.33,1138.49,655611111
2002-03-26,1138.49,1147.0,1131.61,1131.87,679777778
2002-03-25,1131.87,1151.04,1131.87,1148.7,587722222
2002-03-22,1148.7,1156.49,1144.6,1153.59,690722222
2002-03-21,1153.59,1155.1,1139.48,1151.85,744000000
2002-03-20,1151.85,1170.29,1151.61,1170.29,724944444
2002-03-19,1170.29,1173.94,1165.55,1165.55,697222222
2002-03-18,1165.55,1172.73,1159.14,1166.16,649722222
2002-03-15,1166.16,1166.48,1153.04,1153.04,829944444
2002-03-14,1153.04,1157.83,1151.08,1154.09,671555556
2002-03-13,1154.09,1165.58,1151.01,1165.58,752222222
2002-03-12,1165.58,1168.26,1154.34,1168.26,724666667
2002-03-11,1168.26,1173.03,1159.58,1164.31,672333333
2002-03-08,1164.31,1172.76,1157.54,1157.54,784444444
2002-03-07,1157.54,1167.94,1150.69,1162.77,843000000
2002-03-06,1162.77,1165.29,1145.11,1146.14,856277778
2002-03-05,1146.14,1157.74,1144.78,1153.84,860722222
2002-03-04,1153.84,1153.84,1130.93,1131.78,885722222
2002-03-01,1131.78,1131.79,1106.73,1106.73,809166667
2002-02-28,1106.73,1121.57,1106.73,1109.89,773444444
2002-02-27,1109.89,1123.06,1102.26,1109.38,774333333
2002-02-26,1109.38,1115.05,1101.72,1109.43,727333333
2002-02-25,1109.43,1112.71,1089.84,1089.84,759666667
2002-02-22,1089.84,1093.93,1074.39,1080.95,783888889
2002-02-21,1080.95,1101.5,1080.24,1097.98,767555556
2002-02-20,1097.98,1098.32,1074.36,1083.34,799388889
2002-02-19,1083.34,1104.18,1082.24,1104.18,661055556
2002-02-15,1104.18,1117.09,1103.23,1116.48,755111111
2002-02-14,1116.48,1124.72,1112.3,1118.51,706944444
2002-02-13,1118.51,1120.56,1107.5,1107.5,675500000
2002-02-12,1107.5,1112.68,1102.98,1111.94,607888889
2002-02-11,1111.94,1112.01,1094.68,1096.22,644111111
2002-02-08,1096.22,1096.3,1079.91,1080.17,762166667
2002-02-07,1080.17,1094.03,1078.44,1083.51,800888889
2002-02-06,1083.51,1093.58,1077.78,1090.02,925444444
2002-02-05,1090.02,1100.96,1082.58,1094.44,987944444
2002-02-04,1094.44,1122.2,1092.25,1122.2,798666667
2002-02-01,1122.2,1130.2,1118.51,1130.2,759555556
2002-01-31,1130.2,1130.21,1113.3,1113.57,865000000
2002-01-30,1113.57,1113.79,1081.66,1100.64,1122000000
2002-01-29,1100.64,1137.47,1098.74,1133.06,1006666667
2002-01-28,1133.06,1138.63,1126.66,1133.28,659333333
2002-01-25,1133.28,1138.31,1127.82,1132.15,747277778
2002-01-24,1132.15,1139.5,1128.18,1128.18,862666667
2002-01-23,1128.18,1131.94,1117.43,1119.31,821777778
2002-01-22,1119.31,1135.26,1117.91,1127.58,728666667
2002-01-18,1127.58,1138.88,1124.45,1138.88,740722222
2002-01-17,1138.88,1139.27,1127.57,1127.57,766722222
2002-01-16,1127.57,1146.19,1127.49,1146.19,823611111
2002-01-15,1146.19,1148.81,1136.88,1138.41,770500000
2002-01-14,1138.41,1145.6,1138.15,1145.6,714666667
2002-01-11,1145.6,1159.41,1145.45,1156.55,673277778
2002-01-10,1156.55,1159.93,1150.85,1155.14,721666667
2002-01-09,1155.14,1174.26,1151.89,1160.71,806666667
2002-01-08,1160.71,1167.6,1157.46,1164.89,699333333
2002-01-07,1164.89,1176.97,1163.55,1172.51,726833333
2002-01-04,1172.51,1176.55,1163.42,1165.27,840555556
2002-01-03,1165.27,1165.27,1154.01,1154.67,777166667
2002-01-02,1154.67,1154.67,1136.23,1148.08,650555556
2001-12-31,1148.08,1161.16,1148.04,1161.02,524222222
2001-12-28,1161.02,1164.64,1157.13,1157.13,509666667
2001-12-27,1157.13,1157.13,1149.37,1149.37,486833333
2001-12-26,1149.37,1159.18,1144.65,1144.65,439500000
2001-12-24,1144.65,1147.83,1144.62,1144.89,244261111
2001-12-21,1144.89,1147.46,1139.93,1139.93,941111111
2001-12-20,1139.93,1151.42,1139.93,1149.56,828055556
2001-12-19,1149.56,1152.44,1134.75,1142.92,824944444
2001-12-18,1142.92,1145.1,1134.36,1134.36,752222222
2001-12-17,1134.36,1137.3,1122.66,1123.09,700222222
2001-12-14,1123.09,1128.28,1114.53,1119.38,726000000
2001-12-13,1119.38,1137.07,1117.85,1137.07,839722222
2001-12-12,1137.07,1141.58,1126.01,1136.76,805388889
2001-12-11,1136.76,1150.89,1134.32,1139.93,759555556
2001-12-10,1139.93,1158.31,1139.66,1158.31,677055556
2001-12-07,1158.31,1167.1,1152.66,1167.1,693444444
2001-12-06,1167.1,1173.35,1164.43,1170.35,826611111
2001-12-05,1170.35,1173.62,1143.77,1143.77,980722222
2001-12-04,1144.8,1144.8,1128.86,1129.9,732500000
2001-12-03,1129.9,1139.45,1125.78,1139.45,668277778
2001-11-30,1139.45,1143.57,1135.89,1140.2,746444444
2001-11-29,1140.2,1140.4,1125.51,1128.52,764277778
2001-11-28,1128.52,1149.5,1128.29,1149.5,790944444
2001-11-27,1149.5,1163.38,1140.81,1157.42,715555556
2001-11-26,1157.42,1157.88,1146.17,1150.34,627666667
2001-11-23,1150.34,1151.05,1135.9,1137.03,227944444
2001-11-21,1137.03,1142.66,1129.78,1142.66,571833333
2001-11-20,1142.66,1152.45,1142.17,1151.06,739000000
2001-11-19,1151.06,1151.06,1138.65,1138.65,731555556
2001-11-16,1138.65,1143.52,1129.92,1142.24,743000000
2001-11-15,1142.24,1146.46,1135.06,1141.21,808055556
2001-11-14,1141.21,1148.28,1132.87,1139.09,801888889
2001-11-13,1139.09,1139.14,1118.33,1118.33,761166667
2001-11-12,1118.33,1121.71,1098.32,1120.31,550888889
2001-11-09,1120.31,1123.02,1111.13,1118.54,607666667
2001-11-08,1118.54,1135.75,1115.42,1115.8,843055556
2001-11-07,1115.8,1126.62,1112.98,1118.86,784055556
2001-11-06,1118.86,1119.73,1095.36,1102.84,753333333
2001-11-05,1102.84,1106.72,1087.2,1087.2,704277778
2001-11-02,1087.2,1089.63,1075.58,1084.1,623277778
2001-11-01,1084.1,1085.61,1054.31,1059.78,731888889
2001-10-31,1059.78,1074.79,1057.55,1059.79,751388889
2001-10-30,1059.79,1078.3,1053.61,1078.3,720777778
