Attributes,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX,^SPX,^DJI,^NDX
Date,,,,,,,,,,,,,,,
1987-09-28,323.2,2601.5,204.62,325.33,2635.0,206.86,320.16,2574.6,204.35,320.16,2574.6,205.12,104500000,26292250,47241379
1987-09-25,320.16,2570.2,205.12,320.55,2584.0,205.66,318.1,2543.7,204.05,319.72,2566.4,204.64,76666667,13769526,44758621
1987-09-24,319.72,2566.4,204.64,322.01,2604.0,206.18,319.12,2552.1,203.74,321.09,2585.7,204.07,90111111,16898465,41793103
1987-09-23,321.19,2585.7,204.07,321.83,2602.2,204.14,319.12,2554.8,201.43,319.49,2568.1,201.43,122388889,30445921,58034483
1987-09-22,319.5,2568.1,201.43,319.51,2572.6,201.46,308.69,2469.0,196.13,310.54,2492.8,197.26,116388889,25643952,54206897
1987-09-21,310.54,2492.8,197.26,317.66,2559.7,202.22,310.12,2479.8,197.24,314.92,2524.6,201.68,94500000,22058618,53068966
1987-09-18,314.86,2524.6,201.68,316.99,2554.8,202.96,314.86,2514.0,201.15,314.98,2527.9,202.05,104500000,23544713,52206897
1987-09-17,314.93,2527.9,202.05,316.08,2557.3,202.24,313.45,2508.0,200.71,314.94,2530.2,201.3,83722222,19353190,53310345
1987-09-16,314.86,2530.2,201.3,319.5,2585.2,203.44,314.61,2522.5,201.24,317.75,2566.6,202.26,108722222,21893478,48896552
1987-09-15,317.74,2566.6,202.26,323.08,2610.5,205.16,317.63,2560.2,201.68,323.07,2610.5,205.16,75666667,14934575,46724138
1987-09-14,323.08,2613.0,205.16,323.81,2634.6,207.07,320.4,2587.9,204.34,322.02,2608.7,206.37,85777778,15956098,44931034
1987-09-11,321.98,2608.7,206.37,322.45,2626.0,206.9,317.13,2575.4,204.95,317.14,2576.1,205.16,98888889,21664624,54551724
1987-09-10,317.13,2576.1,205.16,317.59,2595.5,205.35,313.92,2549.4,201.6,313.92,2549.4,201.6,99888889,23522402,54586207
1987-09-09,313.92,2549.3,201.6,315.41,2570.6,201.99,312.29,2522.8,199.83,313.6,2545.1,199.9,91611111,23542607,46310345
1987-09-08,313.56,2545.1,199.9,316.7,2571.4,204.11,308.56,2493.8,197.43,316.68,2561.4,204.06,134944444,31803506,50172414
1987-09-04,316.7,2561.4,204.06,322.03,2617.2,205.85,316.53,2556.3,203.92,320.21,2599.5,205.01,71722222,14971870,45379310
1987-09-03,320.21,2599.5,205.01,324.29,2642.2,207.49,317.39,2560.1,203.68,321.47,2602.0,205.73,91777778,22928709,50724138
1987-09-02,321.68,2602.0,205.73,324.53,2631.1,207.36,318.76,2567.8,204.22,323.4,2611.0,206.89,111055556,30633039,50172414
1987-09-01,323.4,2611.0,206.89,332.18,2695.5,210.78,322.83,2594.1,206.88,329.81,2663.0,209.57,107500000,21368525,59931034
1987-08-31,329.8,2663.0,209.57,330.09,2679.5,209.75,326.99,2623.6,207.65,327.03,2639.4,208.85,92111111,19289817,45827586
1987-08-28,327.04,2639.4,208.85,331.38,2680.3,211.02,327.03,2632.0,208.85,331.37,2675.1,210.63,86833333,16741898,53068966
1987-08-27,331.38,2675.1,210.63,334.57,2705.5,212.16,331.1,2661.4,210.24,334.56,2701.9,211.16,90888889,19466863,48172414
1987-08-26,334.57,2701.9,211.16,337.39,2742.0,211.9,334.46,2686.5,210.5,336.77,2722.4,210.71,109000000,22451955,52172414
1987-08-25,336.77,2722.4,210.71,337.89,2746.7,211.56,333.33,2694.8,209.48,333.37,2697.1,209.48,118611111,22895635,49862069
1987-08-24,333.33,2697.1,209.48,335.9,2730.6,210.57,331.92,2678.9,208.77,335.89,2709.5,210.57,83000000,18927478,49793103
1987-08-21,335.9,2709.5,210.57,336.37,2735.5,210.71,334.3,2689.1,208.88,334.85,2706.8,208.93,105333333,27752001,57310345
1987-08-20,334.84,2706.8,208.93,335.19,2714.6,208.98,329.83,2666.0,205.37,331.49,2666.0,205.39,109222222,23484900,54551724
1987-08-19,329.83,2665.8,205.39,329.89,2676.2,205.39,326.54,2628.2,203.35,329.26,2654.7,203.9,100500000,20858796,46241379
1987-08-18,329.25,2654.7,203.9,334.11,2691.0,206.87,326.43,2626.6,203.31,334.1,2691.0,206.83,110222222,28785305,50862069
1987-08-17,334.11,2700.6,206.83,335.43,2714.0,207.13,332.88,2674.4,205.63,333.98,2685.4,206.46,92277778,21272598,43551724
1987-08-14,333.99,2685.4,206.46,336.08,2713.3,206.99,332.63,2660.1,205.31,334.63,2691.5,206.47,108944444,23054256,50931034
1987-08-13,334.65,2691.5,206.47,335.52,2714.9,207.6,332.38,2656.6,206.14,332.38,2669.3,207.06,120611111,27486340,55241379
1987-08-12,332.39,2669.3,207.06,334.57,2700.7,208.59,331.06,2648.6,206.79,333.32,2680.5,208.39,131000000,34214871,59344828
1987-08-11,333.33,2680.5,208.39,333.4,2692.0,208.46,328.0,2635.5,206.03,328.02,2635.8,206.03,154500000,40084605,63931034
1987-08-10,328.0,2635.8,206.03,328.0,2640.2,206.06,322.95,2587.9,203.1,322.98,2592.0,203.73,104000000,21554024,45103448
1987-08-07,323.0,2592.0,203.73,324.15,2611.9,204.71,321.82,2576.2,201.87,322.1,2594.2,201.87,118166667,24452165,57000000
1987-08-06,322.09,2594.2,201.87,322.09,2600.9,201.91,317.5,2551.8,198.05,318.49,2566.7,198.24,106666667,26907258,51620690
1987-08-05,318.45,2566.7,198.24,319.74,2586.6,198.62,316.23,2541.0,195.88,316.25,2546.7,195.88,107055556,24974063,52344828
1987-08-04,316.23,2546.7,195.88,318.25,2568.7,195.99,314.51,2526.0,194.1,317.59,2557.1,195.24,92500000,19283727,48413793
1987-08-03,317.57,2557.1,195.24,320.26,2585.3,196.71,316.52,2536.7,194.59,318.62,2572.1,196.35,115444444,21752511,46034483
1987-07-31,318.66,2572.1,196.35,318.85,2588.3,197.12,317.56,2551.0,195.83,318.05,2567.4,196.57,101055556,20970621,49172414
1987-07-30,318.05,2567.4,196.57,318.53,2576.9,196.75,315.65,2527.4,194.6,315.69,2539.5,194.73,115555556,27200990,53172414
1987-07-29,315.65,2539.5,194.73,315.65,2548.5,194.85,311.73,2501.6,193.59,312.34,2519.8,193.76,109000000,27385313,46896552
1987-07-28,312.33,2519.8,193.76,312.33,2537.2,194.24,310.28,2489.3,193.2,310.65,2493.9,193.2,95888889,27675252,43413793
1987-07-27,310.65,2493.9,193.2,310.7,2511.6,193.37,308.61,2468.8,191.99,309.3,2485.3,193.02,84444444,14197772,38620690
1987-07-24,309.27,2485.3,193.02,309.28,2494.9,193.12,307.78,2462.5,191.49,307.82,2471.9,191.51,88000000,15613024,50793103
1987-07-23,307.81,2471.9,191.51,309.63,2492.7,193.88,306.1,2447.1,190.46,308.5,2470.2,193.63,90944444,19071301,52896552
1987-07-22,308.47,2470.2,193.63,309.12,2488.7,193.82,307.22,2448.5,192.57,308.56,2468.0,193.2,97055556,20331524,53137931
1987-07-21,308.55,2468.0,193.2,312.41,2500.2,194.91,307.51,2444.7,192.83,311.36,2487.8,193.86,103666667,21467742,53862069
1987-07-20,311.39,2487.8,193.86,314.59,2512.3,195.87,311.24,2476.9,193.77,314.56,2510.0,195.87,93388889,16538976,44931034
1987-07-17,314.59,2510.0,195.87,314.59,2533.6,197.3,312.38,2485.7,195.31,312.71,2497.0,196.04,116666667,32120210,52724138
1987-07-16,312.7,2497.0,196.04,312.83,2511.5,196.35,310.42,2471.8,194.83,311.0,2483.7,194.87,117166667,29662903,54689655
1987-07-15,310.42,2483.7,194.87,312.08,2502.2,196.04,309.07,2455.2,193.7,310.67,2481.4,194.99,112388889,25821248,53068966
1987-07-14,310.68,2481.4,194.99,310.69,2493.0,194.99,307.46,2442.6,190.42,307.67,2453.0,190.42,103277778,24409965,55241379
1987-07-13,307.63,2453.0,190.42,308.41,2470.3,190.42,305.49,2427.1,188.06,308.41,2456.0,188.74,84722222,21046495,43896552
1987-07-10,308.37,2456.0,188.74,308.4,2470.5,188.94,306.96,2435.9,187.79,307.55,2451.2,187.98,95611111,21156522,45482759
1987-07-09,307.52,2451.2,187.98,309.56,2478.5,189.4,307.42,2441.2,187.35,308.3,2464.0,187.38,108555556,18358737,52793103
1987-07-08,308.29,2464.0,187.38,308.48,2476.2,188.38,306.01,2432.6,186.57,307.41,2449.8,187.76,115277778,25019823,67206897
1987-07-07,307.4,2449.8,187.76,308.63,2467.6,189.02,304.73,2425.1,187.4,304.91,2429.5,189.02,111500000,24925114,67413793
1987-07-06,304.92,2429.5,189.02,306.75,2460.3,191.17,304.23,2413.0,188.73,305.64,2436.7,190.38,86111111,21377828,48068966
1987-07-02,305.63,2436.7,190.38,306.34,2446.3,190.95,302.94,2415.7,189.54,302.96,2415.7,189.54,86055556,17821316,64137931
1987-07-01,302.94,2409.8,189.48,304.0,2430.8,190.16,302.53,2391.3,188.88,303.99,2418.5,189.24,87222222,18531349,73724138
1987-06-30,304.0,2418.5,189.24,308.0,2456.3,191.1,303.01,2401.2,188.35,307.89,2446.9,190.7,91944444,21374672,49793103
1987-06-29,307.9,2446.9,190.7,308.15,2460.3,191.29,306.75,2423.8,190.38,307.15,2436.9,191.06,79166667,16897583,42482759
1987-06-26,307.16,2436.9,191.06,308.96,2453.9,191.45,306.36,2423.6,189.32,308.94,2451.1,191.35,83611111,16449345,50241379
1987-06-25,308.96,2451.1,191.35,309.44,2460.1,192.87,306.86,2430.3,191.23,306.87,2430.3,191.9,96388889,16767953,51655172
1987-06-24,306.86,2428.4,191.9,308.91,2454.1,193.36,306.32,2415.3,191.57,308.44,2439.7,191.84,85444444,20738575,48379310
1987-06-23,308.43,2439.7,191.84,310.27,2466.0,193.27,307.48,2421.7,191.07,309.66,2445.5,192.9,107888889,26679484,53206897
1987-06-22,309.65,2445.5,192.9,310.2,2457.3,193.04,306.97,2417.4,192.0,306.98,2420.9,192.05,99000000,23429554,45758621
1987-06-19,306.97,2420.9,192.05,306.97,2431.9,193.2,305.55,2395.3,191.3,305.71,2408.1,192.37,122500000,33310062,52965517
1987-06-18,305.69,2408.1,192.37,306.13,2419.9,192.78,303.38,2386.5,190.15,304.78,2407.4,191.32,93666667,19301500,54655172
