Date,VZ.US
1987-09-30,5.961
1987-10-01,6.03754
1987-10-02,6.01414
1987-10-05,5.98461
1987-10-06,5.97285
1987-10-07,5.92525
1987-10-08,5.9134
1987-10-09,5.92525
1987-10-12,5.92525
1987-10-13,6.12642
1987-10-14,6.04989
1987-10-15,5.99073
1987-10-16,5.71253
1987-10-19,4.70718
1987-10-20,5.36974
1987-10-21,5.6829
1987-10-22,5.67115
1987-10-23,5.81899
1987-10-26,5.62404
1987-10-27,5.64133
1987-10-28,5.52361
1987-10-29,5.59412
1987-10-30,5.6118
1987-11-02,5.6595
1987-11-03,5.67115
1987-11-04,5.67115
1987-11-05,5.70078
1987-11-06,5.62977
1987-11-09,5.49368
1987-11-10,5.41073
1987-11-11,5.39917
1987-11-12,5.49368
1987-11-13,5.39917
1987-11-16,5.39917
1987-11-17,5.35167
1987-11-18,5.34041
1987-11-19,5.29854
1987-11-20,5.36974
1987-11-23,5.32826
1987-11-24,5.3576
1987-11-25,5.23356
1987-11-27,5.25133
1987-11-30,5.09747
1987-12-01,5.19218
1987-12-02,5.19218
1987-12-03,5.09747
1987-12-04,5.05619
1987-12-07,4.99703
1987-12-08,5.05619
1987-12-09,5.08572
1987-12-10,5.00888
1987-12-11,5.02636
1987-12-14,5.1744
1987-12-15,5.26328
1987-12-16,5.39917
1987-12-17,5.29854
1987-12-18,5.43433
1987-12-21,5.4287
1987-12-22,5.41675
1987-12-23,5.38752
1987-12-24,5.20995
1987-12-28,5.06774
1987-12-29,5.06774
1987-12-30,5.127
1987-12-31,5.127
1988-01-04,5.34614
1988-01-05,5.39315
1988-01-06,5.28689
1988-01-07,5.30456
1988-01-08,4.99091
1988-01-11,5.09154
1988-01-12,5.09154
1988-01-13,5.26901
1988-01-14,5.24531
1988-01-15,5.47581
1988-01-18,5.39315
1988-01-19,5.31602
1988-01-20,5.198
1988-01-21,5.21558
1988-01-22,5.39315
1988-01-25,5.57052
1988-01-26,5.50544
1988-01-27,5.53496
1988-01-28,5.62977
1988-01-29,5.74186
1988-02-01,5.73021
1988-02-02,5.70078
1988-02-03,5.67115
1988-02-04,5.6595
1988-02-05,5.67115
1988-02-08,5.64133
1988-02-09,5.6829
1988-02-10,5.78926
1988-02-11,5.70078
1988-02-12,5.74798
1988-02-16,5.68893
1988-02-17,5.56489
1988-02-18,5.51126
1988-02-19,5.60014
1988-02-22,5.64133
1988-02-23,5.59412
1988-02-24,5.59412
1988-02-25,5.53496
1988-02-26,5.60014
1988-02-29,5.70078
1988-03-01,5.67115
1988-03-02,5.6829
1988-03-03,5.65337
1988-03-04,5.53496
1988-03-07,5.51126
1988-03-08,5.48183
1988-03-09,5.43433
1988-03-10,5.32826
1988-03-11,5.42297
1988-03-14,5.46415
1988-03-15,5.51126
1988-03-16,5.62404
1988-03-17,5.6118
1988-03-18,5.60014
1988-03-21,5.54089
1988-03-22,5.53496
1988-03-23,5.52361
1988-03-24,5.47581
1988-03-25,5.37517
1988-03-28,5.34614
1988-03-29,5.33409
1988-03-30,5.24531
1988-03-31,5.29854
1988-04-04,5.33409
1988-04-05,5.39315
1988-04-06,5.48776
1988-04-07,5.48776
1988-04-08,5.52361
1988-04-11,5.48776
