Date,PFE.US
1988-06-07,1.05957
1988-06-08,1.07916
1988-06-09,1.08585
1988-06-10,1.08585
1988-06-13,1.08585
1988-06-14,1.09274
1988-06-15,1.08585
1988-06-16,1.05957
1988-06-17,1.05298
1988-06-20,1.05957
1988-06-21,1.07916
1988-06-22,1.06617
1988-06-23,1.06617
1988-06-24,1.05298
1988-06-27,1.03988
1988-06-28,1.05298
1988-06-29,1.03299
1988-06-30,1.05298
1988-07-01,1.05957
1988-07-05,1.07247
1988-07-06,1.07247
1988-07-07,1.05957
1988-07-08,1.03988
1988-07-11,1.03299
1988-07-12,1.03299
1988-07-13,1.03299
1988-07-14,1.02659
1988-07-15,1.03988
1988-07-18,1.03299
1988-07-19,1.03299
1988-07-20,1.04628
1988-07-21,1.05298
1988-07-22,1.03299
1988-07-25,1.03988
1988-07-26,1.04628
1988-07-27,1.03299
1988-07-28,1.03988
1988-07-29,1.05957
1988-08-01,1.06617
1988-08-02,1.07247
1988-08-03,1.09274
1988-08-04,1.07916
1988-08-05,1.05957
1988-08-08,1.05298
1988-08-09,1.04628
1988-08-10,1.03988
1988-08-11,1.05298
1988-08-12,1.03988
1988-08-15,1.03988
1988-08-16,1.04628
1988-08-17,1.05298
1988-08-18,1.05957
1988-08-19,1.07247
1988-08-22,1.05298
1988-08-23,1.05298
1988-08-24,1.05298
1988-08-25,1.04628
1988-08-26,1.03988
1988-08-29,1.04628
1988-08-30,1.04628
1988-08-31,1.04628
1988-09-01,1.03299
1988-09-02,1.05957
1988-09-06,1.07916
1988-09-07,1.09274
1988-09-08,1.08585
1988-09-09,1.09914
1988-09-12,1.09274
1988-09-13,1.10553
1988-09-14,1.10553
1988-09-15,1.10553
1988-09-16,1.11213
1988-09-19,1.09914
1988-09-20,1.11213
1988-09-21,1.13861
1988-09-22,1.13172
1988-09-23,1.13172
1988-09-26,1.11213
1988-09-27,1.11213
1988-09-28,1.12522
1988-09-29,1.13172
1988-09-30,1.12522
1988-10-03,1.12522
1988-10-04,1.11213
1988-10-05,1.12522
1988-10-06,1.1451
1988-10-07,1.1517
1988-10-10,1.1517
1988-10-11,1.1517
1988-10-12,1.13172
1988-10-13,1.13861
1988-10-14,1.1451
1988-10-17,1.15809
1988-10-18,1.16459
1988-10-19,1.16459
1988-10-20,1.17788
1988-10-21,1.19137
1988-10-24,1.19777
1988-10-25,1.21754
1988-10-26,1.22404
1988-10-27,1.19137
1988-10-28,1.18398
1988-10-31,1.17788
1988-11-01,1.18398
1988-11-02,1.18398
1988-11-03,1.17788
1988-11-04,1.16459
1988-11-07,1.15809
1988-11-08,1.16459
1988-11-09,1.15809
1988-11-10,1.17168
1988-11-11,1.1517
1988-11-14,1.13861
1988-11-15,1.1451
1988-11-16,1.13861
1988-11-17,1.13861
1988-11-18,1.1451
1988-11-21,1.1517
1988-11-22,1.1517
1988-11-23,1.15809
1988-11-25,1.15809
1988-11-28,1.1517
1988-11-29,1.16459
1988-11-30,1.18398
1988-12-01,1.17788
1988-12-02,1.17168
1988-12-05,1.21076
1988-12-06,1.21076
1988-12-07,1.19137
1988-12-08,1.19137
1988-12-09,1.20426
1988-12-12,1.21076
1988-12-13,1.19777
1988-12-14,1.20426
1988-12-15,1.21076
1988-12-16,1.21754
1988-12-19,1.22404
1988-12-20,1.20426
1988-12-21,1.21754
1988-12-22,1.22404
1988-12-23,1.21754
1988-12-27,1.21754
1988-12-28,1.21754
1988-12-29,1.21754
1988-12-30,1.21076
1989-01-03,1.20426
1989-01-04,1.21076
1989-01-05,1.20426
1989-01-06,1.21076
1989-01-09,1.19137
1989-01-10,1.19137
1989-01-11,1.19777
1989-01-12,1.20426
1989-01-13,1.20426
1989-01-16,1.21076
1989-01-17,1.21076
1989-01-18,1.20426
1989-01-19,1.19137
1989-01-20,1.17168
1989-01-23,1.18398
1989-01-24,1.19777
1989-01-25,1.19777
1989-01-26,1.21076
1989-01-27,1.20426
1989-01-30,1.20426
1989-01-31,1.21076
1989-02-01,1.21754
1989-02-02,1.21754
1989-02-03,1.22404
1989-02-06,1.22404
1989-02-07,1.22404
1989-02-08,1.23723
1989-02-09,1.22404
1989-02-10,1.19777
1989-02-13,1.19137
1989-02-14,1.20426
1989-02-15,1.19777
1989-02-16,1.19137
1989-02-17,1.17168
1989-02-21,1.18398
1989-02-22,1.17168
1989-02-23,1.17168
1989-02-24,1.1451
1989-02-27,1.13861
1989-02-28,1.15809
1989-03-01,1.15809
1989-03-02,1.17168
1989-03-03,1.16459
1989-03-06,1.15809
1989-03-07,1.15809
1989-03-08,1.16459
1989-03-09,1.16459
1989-03-10,1.1517
1989-03-13,1.16459
1989-03-14,1.17168
1989-03-15,1.18398
1989-03-16,1.19137
1989-03-17,1.17788
1989-03-20,1.18398
1989-03-21,1.18398
1989-03-22,1.18398
1989-03-23,1.17788
1989-03-27,1.18398
1989-03-28,1.19137
1989-03-29,1.20426
1989-03-30,1.19777
1989-03-31,1.21076
1989-04-03,1.22404
1989-04-04,1.23723
1989-04-05,1.26352
1989-04-06,1.25042
1989-04-07,1.24373
1989-04-10,1.24373
1989-04-11,1.23723
1989-04-12,1.25042
1989-04-13,1.23723
1989-04-14,1.25692
1989-04-17,1.25692
1989-04-18,1.27651
1989-04-19,1.28999
1989-04-20,1.27651
1989-04-21,1.30308
1989-04-24,1.28339
1989-04-25,1.28999
1989-04-26,1.28999
1989-04-27,1.29629
1989-04-28,1.30308
1989-05-01,1.29629
1989-05-02,1.29629
1989-05-03,1.28999
1989-05-04,1.31617
1989-05-05,1.31617
1989-05-08,1.30308
1989-05-09,1.30968
1989-05-10,1.30308
1989-05-11,1.30308
1989-05-12,1.35544
1989-05-15,1.34924
1989-05-16,1.35544
1989-05-17,1.34924
1989-05-18,1.34924
1989-05-19,1.32936
1989-05-22,1.31617
1989-05-23,1.28339
1989-05-24,1.28999
1989-05-25,1.29629
