Date,MRK.US
1987-11-24,4.9973
1987-11-25,5.00415
1987-11-27,4.91626
1987-11-30,4.76054
1987-12-01,4.74001
1987-12-02,4.78067
1987-12-03,4.50285
1987-12-04,4.32014
1987-12-07,4.44195
1987-12-08,4.45554
1987-12-09,4.53697
1987-12-10,4.47557
1987-12-11,4.41517
1987-12-14,4.52308
1987-12-15,4.46952
1987-12-16,4.53003
1987-12-17,4.42191
1987-12-18,4.53003
1987-12-21,4.5573
1987-12-22,4.50989
1987-12-23,4.53003
1987-12-24,4.51664
1987-12-28,4.39453
1987-12-29,4.38789
1987-12-30,4.46952
1987-12-31,4.45554
1988-01-04,4.62485
1988-01-05,4.70628
1988-01-06,4.62485
1988-01-07,4.6926
1988-01-08,4.42846
1988-01-11,4.45554
1988-01-12,4.38789
1988-01-13,4.32014
1988-01-14,4.24565
1988-01-15,4.23901
1988-01-18,4.30675
1988-01-19,4.33373
1988-01-20,4.08983
1988-01-21,4.16422
1988-01-22,4.22532
1988-01-25,4.3134
1988-01-26,4.17116
1988-01-27,4.15063
1988-01-28,4.16422
1988-01-29,4.23901
1988-02-01,4.32689
1988-02-02,4.34058
1988-02-03,4.21183
1988-02-04,4.23901
1988-02-05,4.26609
1988-02-08,4.25894
1988-02-09,4.3134
1988-02-10,4.44195
1988-02-11,4.40793
1988-02-12,4.44195
1988-02-16,4.48271
1988-02-17,4.48271
1988-02-18,4.46952
1988-02-19,4.53697
1988-02-22,4.57069
1988-02-23,4.65213
1988-02-24,4.59113
1988-02-25,4.5573
1988-02-26,4.55076
1988-02-29,4.67901
1988-03-01,4.67901
1988-03-02,4.64518
1988-03-03,4.63169
1988-03-04,4.63169
1988-03-07,4.62485
1988-03-08,4.64518
1988-03-09,4.64518
1988-03-10,4.54361
1988-03-11,4.53003
1988-03-14,4.4964
1988-03-15,4.47557
1988-03-16,4.44195
1988-03-17,4.48916
1988-03-18,4.53003
1988-03-21,4.47557
1988-03-22,4.54361
1988-03-23,4.67236
1988-03-24,4.64518
1988-03-25,4.57069
1988-03-28,4.53697
1988-03-29,4.53003
1988-03-30,4.45554
1988-03-31,4.44195
1988-04-04,4.41517
1988-04-05,4.41517
1988-04-06,4.53003
1988-04-07,4.57069
1988-04-08,4.66572
1988-04-11,4.67901
1988-04-12,4.71987
1988-04-13,4.73326
1988-04-14,4.51664
1988-04-15,4.52308
1988-04-18,4.46238
1988-04-19,4.46952
1988-04-20,4.45554
1988-04-21,4.42191
1988-04-22,4.41517
1988-04-25,4.4352
1988-04-26,4.47557
1988-04-27,4.47557
1988-04-28,4.47557
1988-04-29,4.45554
1988-05-02,4.46238
1988-05-03,4.50285
1988-05-04,4.44879
1988-05-05,4.39453
1988-05-06,4.29981
1988-05-09,4.30675
1988-05-10,4.32014
1988-05-11,4.24565
1988-05-12,4.23226
1988-05-13,4.25279
1988-05-16,4.29326
1988-05-17,4.28622
1988-05-18,4.19834
1988-05-19,4.25279
1988-05-20,4.21838
1988-05-23,4.17116
1988-05-24,4.23226
1988-05-25,4.24565
1988-05-26,4.32689
1988-05-27,4.30675
1988-05-31,4.53003
1988-06-01,4.6926
1988-06-02,4.67236
