Date,MMM.US
1988-08-10,7.48379
1988-08-11,7.56414
1988-08-12,7.5127
1988-08-15,7.39765
1988-08-16,7.54974
1988-08-17,7.61354
1988-08-18,7.6006
1988-08-19,7.53465
1988-08-22,7.36179
1988-08-23,7.37609
1988-08-24,7.54974
1988-08-25,7.47076
1988-08-26,7.47076
1988-08-29,7.6006
1988-08-30,7.57924
1988-08-31,7.52074
1988-09-01,7.37609
1988-09-02,7.56414
1988-09-06,7.65803
1988-09-07,7.61354
1988-09-08,7.65803
1988-09-09,7.69399
1988-09-12,7.76493
1988-09-13,7.75103
1988-09-14,7.84676
1988-09-15,7.89556
1988-09-16,7.86087
1988-09-19,7.81697
1988-09-20,7.89556
1988-09-21,7.98386
1988-09-22,7.95386
1988-09-23,7.98386
1988-09-26,7.93946
1988-09-27,7.86087
1988-09-28,7.96964
1988-09-29,8.07607
1988-09-30,8.01815
1988-10-03,7.98386
1988-10-04,7.81697
1988-10-05,7.67312
1988-10-06,7.67312
1988-10-07,7.73661
1988-10-10,7.80227
1988-10-11,7.80227
1988-10-12,7.73661
1988-10-13,7.62794
1988-10-14,7.69399
1988-10-17,7.75103
1988-10-18,7.95386
1988-10-19,7.80227
1988-10-20,7.83187
1988-10-21,7.86087
1988-10-24,7.84676
1988-10-25,7.86087
1988-10-26,7.80227
1988-10-27,7.67312
1988-10-28,7.65803
1988-10-31,7.56414
1988-11-01,7.54974
1988-11-02,7.53465
1988-11-03,7.54974
1988-11-04,7.47076
1988-11-07,7.52074
1988-11-08,7.47076
1988-11-09,7.53465
1988-11-10,7.54974
1988-11-11,7.41187
1988-11-14,7.41187
1988-11-15,7.45577
1988-11-16,7.39765
1988-11-17,7.41187
1988-11-18,7.42666
1988-11-21,7.41187
1988-11-22,7.41187
1988-11-23,7.44851
1988-11-25,7.38315
1988-11-28,7.41187
1988-11-29,7.6006
1988-11-30,7.58649
1988-12-01,7.52074
1988-12-02,7.58649
1988-12-05,7.69399
1988-12-06,7.78747
1988-12-07,7.83931
1988-12-08,7.75769
1988-12-09,7.75769
1988-12-12,7.74377
1988-12-13,7.85392
1988-12-14,7.82422
1988-12-15,7.74377
1988-12-16,7.82422
1988-12-19,7.86646
1988-12-20,7.90222
1988-12-21,7.90222
1988-12-22,7.80962
1988-12-23,7.83931
1988-12-27,7.82422
1988-12-28,7.86646
1988-12-29,7.88038
1988-12-30,7.78747
1989-01-03,7.71673
1989-01-04,7.82422
1989-01-05,7.75769
1989-01-06,7.66479
1989-01-09,7.71673
1989-01-10,7.65048
1989-01-11,7.67959
1989-01-12,7.77209
1989-01-13,7.78747
1989-01-16,7.75769
1989-01-17,7.69399
1989-01-18,7.75769
1989-01-19,7.69399
1989-01-20,7.82422
1989-01-23,7.86646
1989-01-24,8.09155
1989-01-25,8.2648
1989-01-26,8.34378
1989-01-27,8.53057
1989-01-30,8.53057
1989-01-31,8.61121
1989-02-01,8.55987
1989-02-02,8.49557
1989-02-03,8.43767
1989-02-06,8.48225
1989-02-07,8.54448
1989-02-08,8.53057
1989-02-09,8.41571
1989-02-10,8.40043
1989-02-13,8.34378
1989-02-14,8.41571
1989-02-15,8.46707
1989-02-16,8.57505
1989-02-17,8.6902
1989-02-21,8.62581
1989-02-22,8.45275
1989-02-23,8.45275
1989-02-24,8.2501
1989-02-27,8.29312
1989-02-28,8.2648
1989-03-01,8.2501
1989-03-02,8.34378
1989-03-03,8.35848
1989-03-06,8.38769
1989-03-07,8.3727
1989-03-08,8.45275
1989-03-09,8.50273
1989-03-10,8.53057
1989-03-13,8.59749
1989-03-14,8.62581
1989-03-15,8.6902
1989-03-16,8.81984
1989-03-17,8.62581
1989-03-20,8.54448
1989-03-21,8.54448
1989-03-22,8.61121
1989-03-23,8.53057
1989-03-27,8.53057
1989-03-28,8.54448
1989-03-29,8.53057
1989-03-30,8.48225
1989-03-31,8.50273
1989-04-03,8.50273
1989-04-04,8.50273
1989-04-05,8.48225
1989-04-06,8.45275
1989-04-07,8.50273
1989-04-10,8.50273
1989-04-11,8.54448
1989-04-12,8.58221
1989-04-13,8.53057
1989-04-14,8.67472
1989-04-17,8.64218
1989-04-18,8.87951
1989-04-19,8.97242
1989-04-20,8.94419
1989-04-21,9.08805
1989-04-24,9.11676
1989-04-25,9.08805
1989-04-26,8.99309
1989-04-27,9.02357
1989-04-28,9.07286
1989-05-01,9.07286
1989-05-02,9.18144
1989-05-03,9.18144
1989-05-04,9.13195
1989-05-05,9.10138
1989-05-08,9.10138
1989-05-09,9.16801
1989-05-10,9.26199
1989-05-11,9.26199
1989-05-12,9.45052
1989-05-15,9.38977
1989-05-16,9.34372
1989-05-17,9.35646
1989-05-18,9.40545
1989-05-19,9.49854
1989-05-22,9.55048
1989-05-23,9.55048
1989-05-24,9.48384
1989-05-25,9.40545
1989-05-26,9.44269
1989-05-30,9.34372
1989-05-31,9.31138
1989-06-01,9.32608
1989-06-02,9.53676
1989-06-05,9.34372
1989-06-06,9.52108
1989-06-07,9.48384
1989-06-08,9.44269
1989-06-09,9.34372
1989-06-12,9.45738
1989-06-13,9.37704
1989-06-14,9.38977
1989-06-15,9.26199
1989-06-16,9.34372
1989-06-19,9.31138
1989-06-20,9.26199
1989-06-21,9.27365
1989-06-22,9.40545
1989-06-23,9.44269
1989-06-26,9.49854
1989-06-27,9.45738
1989-06-28,9.38977
1989-06-29,9.16801
1989-06-30,9.11676
1989-07-03,9.10138
1989-07-05,9.05198
1989-07-06,9.08805
1989-07-07,9.18144
1989-07-10,9.27365
1989-07-11,9.31138
1989-07-12,9.27365
1989-07-13,9.26199
1989-07-14,9.34372
1989-07-17,9.31138
1989-07-18,9.31138
1989-07-19,9.34372
1989-07-20,9.24749
1989-07-21,9.4711
1989-07-24,9.40545
1989-07-25,9.38977
1989-07-26,9.40545
1989-07-27,9.45738
1989-07-28,9.53676
1989-07-31,9.72099
1989-08-01,9.64553
1989-08-02,9.66905
1989-08-03,9.78959
1989-08-04,9.80526
1989-08-07,10.013
1989-08-08,10.0777
1989-08-09,10.0287
1989-08-10,10.111
1989-08-11,10.2364
1989-08-14,10.1581
1989-08-15,10.2071
1989-08-16,10.2071
1989-08-17,10.1933
1989-08-18,10.1933
1989-08-21,10.0503
1989-08-22,9.9973
1989-08-23,10.063
1989-08-24,10.3217
1989-08-25,10.2864
1989-08-28,10.2071
1989-08-29,10.0963
1989-08-30,10.0963
1989-08-31,10.1933
1989-09-01,10.1649
1989-09-05,10.063
1989-09-06,9.80526
1989-09-07,9.55048
1989-09-08,9.64553
1989-09-11,9.72099
1989-09-12,9.68179
1989-09-13,9.61516
1989-09-14,9.57988
1989-09-15,9.59164
1989-09-18,9.55048
1989-09-19,9.49854
1989-09-20,9.53676
1989-09-21,9.59164
1989-09-22,9.68179
1989-09-25,9.63181
1989-09-26,9.66023
1989-09-27,9.70629
1989-09-28,9.69453
1989-09-29,9.69453
1989-10-02,9.70629
1989-10-03,9.74353
1989-10-04,9.69453
1989-10-05,9.68179
1989-10-06,9.66023
1989-10-09,9.66023
1989-10-10,9.63181
1989-10-11,9.63181
1989-10-12,9.59164
1989-10-13,9.22613
1989-10-16,9.38291
1989-10-17,9.35646
1989-10-18,9.28923
1989-10-19,9.49854
1989-10-20,9.57988
1989-10-23,9.49854
1989-10-24,9.49854
1989-10-25,9.37018
1989-10-26,9.19496
1989-10-27,9.17477
1989-10-30,9.14685
1989-10-31,9.24161
1989-11-01,9.28923
1989-11-02,9.38291
1989-11-03,9.42015
1989-11-06,9.34372
1989-11-07,9.42015
1989-11-08,9.49854
1989-11-09,9.4711
1989-11-10,9.55048
1989-11-13,9.64553
1989-11-14,9.59164
1989-11-15,9.61516
1989-11-16,9.66023
1989-11-17,9.76117
1989-11-20,9.72883
1989-11-21,9.82682
1989-11-22,9.91307
1989-11-24,10.0219
1989-11-27,9.95623
1989-11-28,9.98849
1989-11-29,9.91307
1989-11-30,10.0219
1989-12-01,10.2531
1989-12-04,10.2531
1989-12-05,10.2364
1989-12-06,10.3011
1989-12-07,10.2531
1989-12-08,10.3011
1989-12-11,10.2531
1989-12-12,10.4089
1989-12-13,10.602
1989-12-14,10.5765
1989-12-15,10.4736
1989-12-18,10.3011
1989-12-19,10.4089
1989-12-20,10.3678
1989-12-21,10.3815
1989-12-22,10.3168
1989-12-26,10.3168
1989-12-27,10.3678
1989-12-28,10.3305
1989-12-29,10.3678
1990-01-02,10.4736
1990-01-03,10.5892
1990-01-04,10.6715
1990-01-05,10.4961
1990-01-08,10.7715
1990-01-09,10.7715
1990-01-10,10.7078
1990-01-11,10.7999
1990-01-12,10.4481
1990-01-15,10.4089
1990-01-16,10.5412
1990-01-17,10.5628
1990-01-18,10.5285
1990-01-19,10.5285
1990-01-22,10.1718
1990-01-23,10.1198
1990-01-24,10.1522
1990-01-25,9.91307
1990-01-26,9.89052
1990-01-29,9.92772
1990-01-30,9.97483
1990-01-31,10.1718
1990-02-01,10.1355
1990-02-02,10.1718
1990-02-05,10.3815
1990-02-06,10.3168
1990-02-07,10.5285
1990-02-08,10.6264
1990-02-09,10.5628
1990-02-12,10.4736
1990-02-13,10.5412
1990-02-14,10.4314
1990-02-15,10.5412
1990-02-16,10.4883
1990-02-20,10.2796
1990-02-21,10.1649
1990-02-22,10.1816
1990-02-23,10.2119
1990-02-26,10.3305
1990-02-27,10.4883
1990-02-28,10.5285
1990-03-01,10.5765
1990-03-02,10.6941
1990-03-05,10.5765
1990-03-06,10.7578
1990-03-07,10.6715
1990-03-08,10.8518
1990-03-09,10.6941
1990-03-12,10.7578
1990-03-13,10.7578
