Date,JNJ.US
1988-01-08,2.55627
1988-01-11,2.54942
1988-01-12,2.52805
1988-01-13,2.5203
1988-01-14,2.54942
1988-01-15,2.60665
1988-01-18,2.62116
1988-01-19,2.62116
1988-01-20,2.52805
1988-01-21,2.63546
1988-01-22,2.81491
1988-01-25,2.77904
1988-01-26,2.73592
1988-01-27,2.65693
1988-01-28,2.7073
1988-01-29,2.76473
1988-02-01,2.74317
1988-02-02,2.73592
1988-02-03,2.6928
1988-02-04,2.72867
1988-02-05,2.72171
1988-02-08,2.7073
1988-02-09,2.75023
1988-02-10,2.81491
1988-02-11,2.77904
1988-02-12,2.81491
1988-02-16,2.8938
1988-02-17,2.87234
1988-02-18,2.82226
1988-02-19,2.86509
1988-02-22,2.92272
1988-02-23,2.90851
1988-02-24,2.90851
1988-02-25,2.86509
1988-02-26,2.8796
1988-02-29,2.95133
1988-03-01,2.94428
1988-03-02,2.95133
1988-03-03,2.93693
1988-03-04,2.90851
1988-03-07,2.92272
1988-03-08,2.95869
1988-03-09,3.02337
1988-03-10,2.98005
1988-03-11,2.9728
1988-03-14,2.99456
1988-03-15,2.98005
1988-03-16,3.02337
1988-03-17,3.05904
1988-03-18,3.03033
1988-03-21,3.00151
1988-03-22,3.01602
1988-03-23,3.00151
1988-03-24,2.93693
1988-03-25,2.86509
1988-03-28,2.83637
1988-03-29,2.86509
1988-03-30,2.79335
1988-03-31,2.81491
1988-04-04,2.75023
1988-04-05,2.7862
1988-04-06,2.90116
1988-04-07,2.8796
1988-04-08,2.92987
1988-04-11,2.92987
1988-04-12,2.98005
1988-04-13,2.98005
1988-04-14,2.82226
1988-04-15,2.82942
1988-04-18,2.7862
1988-04-19,2.73592
1988-04-20,2.72867
1988-04-21,2.7073
1988-04-22,2.75023
1988-04-25,2.80776
1988-04-26,2.80776
1988-04-27,2.75738
1988-04-28,2.73592
1988-04-29,2.68564
1988-05-02,2.6928
1988-05-03,2.71436
1988-05-04,2.64987
1988-05-05,2.64242
1988-05-06,2.6138
1988-05-09,2.58529
1988-05-10,2.59214
1988-05-11,2.58529
1988-05-12,2.57813
1988-05-13,2.59969
1988-05-16,2.60665
1988-05-17,2.53491
1988-05-18,2.48444
1988-05-19,2.52805
1988-05-20,2.54206
1988-05-23,2.56343
1988-05-24,2.6138
1988-05-25,2.63546
1988-05-26,2.66438
1988-05-27,2.66438
1988-05-31,2.77904
1988-06-01,2.83637
1988-06-02,2.82942
1988-06-03,2.83637
1988-06-06,2.83637
1988-06-07,2.8008
1988-06-08,2.8796
1988-06-09,2.83637
1988-06-10,2.76473
1988-06-13,2.82226
1988-06-14,2.8796
1988-06-15,2.91547
1988-06-16,2.85813
1988-06-17,2.8938
1988-06-20,2.87234
1988-06-21,2.87234
1988-06-22,2.83637
1988-06-23,2.84363
1988-06-24,2.81491
1988-06-27,2.74317
1988-06-28,2.77169
1988-06-29,2.77904
1988-06-30,2.83637
1988-07-01,2.82226
1988-07-05,2.85098
1988-07-06,2.7862
1988-07-07,2.76473
1988-07-08,2.75738
1988-07-11,2.80776
1988-07-12,2.7862
1988-07-13,2.83637
1988-07-14,2.85098
1988-07-15,2.83637
1988-07-18,2.82226
1988-07-19,2.82226
1988-07-20,2.84363
1988-07-21,2.80776
1988-07-22,2.76473
1988-07-25,2.77904
1988-07-26,2.76473
1988-07-27,2.72171
1988-07-28,2.75738
1988-07-29,2.85813
1988-08-01,2.8796
1988-08-02,2.8796
1988-08-03,2.92272
1988-08-04,2.8796
1988-08-05,2.8796
1988-08-08,2.8938
1988-08-09,2.87234
1988-08-10,2.84363
1988-08-11,2.85098
1988-08-12,2.85098
1988-08-15,2.83637
1988-08-16,2.85098
1988-08-17,2.8938
1988-08-18,2.90851
1988-08-19,2.87234
1988-08-22,2.85813
1988-08-23,2.87234
1988-08-24,2.92272
1988-08-25,2.93693
1988-08-26,2.90851
1988-08-29,2.92272
1988-08-30,2.90116
1988-08-31,2.90851
1988-09-01,2.8938
1988-09-02,2.94428
1988-09-06,2.99456
1988-09-07,3.03033
1988-09-08,3.03798
1988-09-09,3.01602
1988-09-12,3.01602
1988-09-13,3.00151
1988-09-14,3.05189
1988-09-15,3.03033
1988-09-16,3.04464
1988-09-19,3.03033
1988-09-20,3.03798
1988-09-21,3.0663
1988-09-22,3.03798
1988-09-23,3.05904
1988-09-26,3.05189
1988-09-27,3.05189
1988-09-28,3.0663
1988-09-29,3.08766
1988-09-30,3.08766
1988-10-03,3.09511
1988-10-04,3.07345
1988-10-05,3.08766
1988-10-06,3.08766
1988-10-07,3.13823
1988-10-10,3.13823
1988-10-11,3.10962
1988-10-12,3.05189
1988-10-13,3.08766
1988-10-14,3.10217
1988-10-17,3.10217
1988-10-18,3.10962
1988-10-19,3.10217
1988-10-20,3.1597
1988-10-21,3.16655
1988-10-24,3.12403
1988-10-25,3.14519
1988-10-26,3.13823
1988-10-27,3.10217
1988-10-28,3.12403
1988-10-31,3.12403
1988-11-01,3.13823
1988-11-02,3.14519
1988-11-03,3.13088
1988-11-04,3.10962
1988-11-07,3.08766
1988-11-08,3.10962
1988-11-09,3.09511
1988-11-10,3.09511
1988-11-11,3.03033
1988-11-14,3.00151
1988-11-15,2.98711
1988-11-16,2.92272
1988-11-17,2.9728
1988-11-18,3.00857
1988-11-21,3.02337
1988-11-22,3.05189
1988-11-23,3.05189
1988-11-25,2.99456
1988-11-28,3.03798
1988-11-29,3.10217
1988-11-30,3.10962
1988-12-01,3.0806
1988-12-02,3.0663
1988-12-05,3.08766
1988-12-06,3.13088
1988-12-07,3.15254
1988-12-08,3.12403
1988-12-09,3.14519
1988-12-12,3.10217
1988-12-13,3.09511
1988-12-14,3.07345
1988-12-15,3.07345
1988-12-16,3.10217
1988-12-19,3.14519
1988-12-20,3.09511
1988-12-21,3.0806
1988-12-22,3.0663
1988-12-23,3.0806
1988-12-27,3.05904
1988-12-28,3.0663
1988-12-29,3.10217
1988-12-30,3.07345
1989-01-03,3.02337
1989-01-04,3.0806
1989-01-05,3.10217
1989-01-06,3.09511
1989-01-09,3.08766
1989-01-10,3.0663
1989-01-11,3.07345
1989-01-12,3.05189
1989-01-13,3.05189
1989-01-16,3.08766
1989-01-17,3.10217
1989-01-18,3.13088
1989-01-19,3.10962
1989-01-20,3.11647
1989-01-23,3.08766
1989-01-24,3.14519
1989-01-25,3.13088
1989-01-26,3.1741
1989-01-27,3.28191
1989-01-30,3.2678
1989-01-31,3.31043
1989-02-01,3.27416
1989-02-02,3.25965
1989-02-03,3.27416
1989-02-06,3.2678
1989-02-07,3.30337
1989-02-08,3.31043
1989-02-09,3.2531
1989-02-10,3.19576
1989-02-13,3.21693
1989-02-14,3.21693
1989-02-15,3.25965
1989-02-16,3.2531
1989-02-17,3.28191
1989-02-21,3.24574
1989-02-22,3.1741
1989-02-23,3.1741
1989-02-24,3.13823
1989-02-27,3.1597
1989-02-28,3.13088
1989-03-01,3.10962
1989-03-02,3.15254
1989-03-03,3.16655
1989-03-06,3.1741
1989-03-07,3.16655
1989-03-08,3.16655
1989-03-09,3.18811
1989-03-10,3.18086
1989-03-13,3.21693
1989-03-14,3.25965
1989-03-15,3.32464
1989-03-16,3.38217
1989-03-17,3.28906
1989-03-20,3.21693
1989-03-21,3.22448
1989-03-22,3.19576
1989-03-23,3.18811
1989-03-27,3.23153
1989-03-28,3.28191
1989-03-29,3.29602
1989-03-30,3.28906
1989-03-31,3.29602
1989-04-03,3.29602
1989-04-04,3.28191
1989-04-05,3.29602
1989-04-06,3.28906
1989-04-07,3.31043
1989-04-10,3.31043
1989-04-11,3.3609
1989-04-12,3.37501
1989-04-13,3.33179
1989-04-14,3.38217
1989-04-17,3.38217
1989-04-18,3.44665
1989-04-19,3.47537
1989-04-20,3.46096
1989-04-21,3.48948
1989-04-24,3.46851
1989-04-25,3.4543
1989-04-26,3.46851
1989-04-27,3.49743
1989-04-28,3.49743
1989-05-01,3.46851
1989-05-02,3.48302
1989-05-03,3.47537
1989-05-04,3.48948
1989-05-05,3.44665
1989-05-08,3.46096
1989-05-09,3.46096
1989-05-10,3.48302
1989-05-11,3.4543
1989-05-12,3.56907
1989-05-15,3.6264
1989-05-16,3.6408
1989-05-17,3.6264
1989-05-18,3.6264
1989-05-19,3.66962
1989-05-22,3.76242
1989-05-23,3.66227
1989-05-24,3.59053
1989-05-25,3.64786
1989-05-26,3.6408
1989-05-30,3.59053
1989-05-31,3.61229
1989-06-01,3.67657
1989-06-02,3.77713
1989-06-05,3.74146
1989-06-06,3.79899
1989-06-07,3.79134
1989-06-08,3.76242
1989-06-09,3.92796
1989-06-12,3.84907
1989-06-13,3.69098
1989-06-14,3.66227
1989-06-15,3.61229
1989-06-16,3.64786
1989-06-19,3.61934
1989-06-20,3.58337
1989-06-21,3.55476
1989-06-22,3.58337
1989-06-23,3.7199
1989-06-26,3.67657
1989-06-27,3.71244
1989-06-28,3.64786
1989-06-29,3.55476
1989-06-30,3.50438
1989-07-03,3.55476
1989-07-05,3.58337
1989-07-06,3.58337
1989-07-07,3.64786
1989-07-10,3.68393
1989-07-11,3.71244
1989-07-12,3.67657
1989-07-13,3.6264
1989-07-14,3.6264
1989-07-17,3.57592
1989-07-18,3.56171
1989-07-19,3.66227
1989-07-20,3.66227
1989-07-21,3.69098
1989-07-24,3.66227
1989-07-25,3.64786
1989-07-26,3.8275
1989-07-27,3.89914
1989-07-28,3.921
1989-07-31,3.89914
1989-08-01,3.8275
1989-08-02,3.84907
1989-08-03,3.86327
1989-08-04,3.85612
1989-08-07,3.87748
1989-08-08,3.79899
1989-08-09,3.75587
