Date,MSFT.US
1987-09-14,0.292219
1987-09-15,0.292219
1987-09-16,0.284298
1987-09-17,0.284298
1987-09-18,0.284298
1987-09-21,0.260583
1987-09-22,0.284298
1987-09-23,0.300021
1987-09-24,0.300021
1987-09-25,0.307853
1987-09-28,0.315904
1987-09-29,0.315904
1987-09-30,0.323776
1987-10-01,0.339519
1987-10-02,0.355292
1987-10-05,0.387039
1987-10-06,0.363304
1987-10-07,0.355292
1987-10-08,0.355292
1987-10-09,0.355292
1987-10-12,0.355292
1987-10-13,0.363304
1987-10-14,0.347541
1987-10-15,0.347541
1987-10-16,0.315904
1987-10-19,0.221125
1987-10-20,0.236928
1987-10-21,0.276486
1987-10-22,0.260583
1987-10-23,0.236928
1987-10-26,0.189469
1987-10-27,0.205392
1987-10-28,0.205392
1987-10-29,0.236928
1987-10-30,0.24487
1987-11-02,0.24487
1987-11-03,0.236928
1987-11-04,0.236928
1987-11-05,0.24487
1987-11-06,0.236928
1987-11-09,0.229037
1987-11-10,0.229037
1987-11-11,0.24487
1987-11-12,0.24487
1987-11-13,0.236928
1987-11-16,0.236928
1987-11-17,0.229037
1987-11-18,0.236928
1987-11-19,0.229037
1987-11-20,0.236928
1987-11-23,0.236928
1987-11-24,0.236928
1987-11-25,0.229037
1987-11-27,0.221125
1987-11-30,0.221125
1987-12-01,0.213193
1987-12-02,0.213193
1987-12-03,0.19739
1987-12-04,0.205392
1987-12-07,0.213193
1987-12-08,0.236928
1987-12-09,0.229037
1987-12-10,0.236928
1987-12-11,0.236928
1987-12-14,0.252681
1987-12-15,0.252681
1987-12-16,0.268415
1987-12-17,0.252681
1987-12-18,0.252681
1987-12-21,0.252681
1987-12-22,0.260583
1987-12-23,0.260583
1987-12-24,0.260583
1987-12-28,0.252681
1987-12-29,0.268415
1987-12-30,0.276486
1987-12-31,0.268415
1988-01-04,0.276486
1988-01-05,0.284298
1988-01-06,0.284298
1988-01-07,0.300021
1988-01-08,0.276486
1988-01-11,0.284298
1988-01-12,0.276486
1988-01-13,0.276486
1988-01-14,0.276486
1988-01-15,0.284298
1988-01-18,0.284298
1988-01-19,0.284298
1988-01-20,0.268415
1988-01-21,0.268415
1988-01-22,0.268415
1988-01-25,0.276486
1988-01-26,0.268415
1988-01-27,0.276486
