Date,HD.US
1988-09-12,0.646318
1988-09-13,0.653672
1988-09-14,0.669075
1988-09-15,0.661622
1988-09-16,0.676826
1988-09-19,0.669075
1988-09-20,0.669075
1988-09-21,0.669075
1988-09-22,0.669075
1988-09-23,0.669075
1988-09-26,0.661622
1988-09-27,0.661622
1988-09-28,0.661622
1988-09-29,0.669075
1988-09-30,0.653672
1988-10-03,0.669075
1988-10-04,0.661622
1988-10-05,0.669075
1988-10-06,0.69203
1988-10-07,0.730984
1988-10-10,0.746287
1988-10-11,0.738337
1988-10-12,0.722835
1988-10-13,0.730984
1988-10-14,0.722835
1988-10-17,0.722835
1988-10-18,0.746287
1988-10-19,0.730984
1988-10-20,0.746287
1988-10-21,0.746287
1988-10-24,0.722835
1988-10-25,0.722835
1988-10-26,0.707333
1988-10-27,0.700079
1988-10-28,0.700079
1988-10-31,0.71568
1988-11-01,0.707333
1988-11-02,0.707333
1988-11-03,0.700079
1988-11-04,0.700079
1988-11-07,0.69203
1988-11-08,0.707333
1988-11-09,0.707333
1988-11-10,0.707333
1988-11-11,0.676826
1988-11-14,0.684477
1988-11-15,0.707333
1988-11-16,0.707333
1988-11-17,0.722835
1988-11-18,0.730984
1988-11-21,0.722835
1988-11-22,0.738337
1988-11-23,0.746287
1988-11-25,0.76159
1988-11-28,0.75374
1988-11-29,0.75374
1988-11-30,0.75374
1988-12-01,0.75374
1988-12-02,0.769043
1988-12-05,0.776894
1988-12-06,0.769043
1988-12-07,0.776894
1988-12-08,0.784446
1988-12-09,0.776894
1988-12-12,0.75374
1988-12-13,0.75374
1988-12-14,0.746287
1988-12-15,0.738337
1988-12-16,0.75374
1988-12-19,0.76159
1988-12-20,0.776894
1988-12-21,0.776894
1988-12-22,0.769043
1988-12-23,0.76159
1988-12-27,0.76159
1988-12-28,0.776894
1988-12-29,0.792296
1988-12-30,0.792296
1989-01-03,0.784446
1989-01-04,0.792296
1989-01-05,0.776894
1989-01-06,0.769043
1989-01-09,0.76159
1989-01-10,0.75374
1989-01-11,0.75374
1989-01-12,0.76159
1989-01-13,0.776894
1989-01-16,0.769043
1989-01-17,0.76159
1989-01-18,0.75374
1989-01-19,0.76159
1989-01-20,0.75374
1989-01-23,0.738337
1989-01-24,0.738337
1989-01-25,0.730984
1989-01-26,0.738337
1989-01-27,0.769043
1989-01-30,0.769043
1989-01-31,0.784446
1989-02-01,0.776894
1989-02-02,0.8075
1989-02-03,0.846355
1989-02-06,0.830952
1989-02-07,0.853708
1989-02-08,0.830952
1989-02-09,0.838405
1989-02-10,0.8075
1989-02-13,0.792296
1989-02-14,0.81545
1989-02-15,0.8075
1989-02-16,0.830952
1989-02-17,0.853708
1989-02-21,0.853708
1989-02-22,0.823002
1989-02-23,0.853708
1989-02-24,0.830952
1989-02-27,0.838405
1989-02-28,0.877061
1989-03-01,0.877061
1989-03-02,0.877061
1989-03-03,0.892364
1989-03-06,0.877061
