Date,^DJI
1988-02-03,1924.6
1988-02-04,1923.6
1988-02-05,1910.5
1988-02-08,1895.7
1988-02-09,1914.5
1988-02-10,1962.0
1988-02-11,1961.5
1988-02-12,1983.3
1988-02-16,2006.0
1988-02-17,2001.0
1988-02-18,1986.4
1988-02-19,2014.6
1988-02-22,2040.3
1988-02-23,2039.1
1988-02-24,2040.0
1988-02-25,2017.6
1988-02-26,2023.2
1988-02-29,2071.6
1988-03-01,2070.5
1988-03-02,2071.3
1988-03-03,2063.5
1988-03-04,2057.9
1988-03-07,2056.4
1988-03-08,2081.1
1988-03-09,2074.3
1988-03-10,2026.0
1988-03-11,2035.0
1988-03-14,2050.1
1988-03-15,2047.4
1988-03-16,2064.3
1988-03-17,2086.0
1988-03-18,2087.4
1988-03-21,2067.1
1988-03-22,2066.2
1988-03-23,2067.6
1988-03-24,2023.9
1988-03-25,1979.0
1988-03-28,1979.8
1988-03-29,1998.3
1988-03-30,1978.1
1988-03-31,1988.1
1988-04-04,1980.6
1988-04-05,1997.5
1988-04-06,2061.7
1988-04-07,2062.2
1988-04-08,2090.2
1988-04-11,2096.0
1988-04-12,2110.1
1988-04-13,2107.1
1988-04-14,2005.6
1988-04-15,2013.9
1988-04-18,2008.1
1988-04-19,1999.5
1988-04-20,1985.4
1988-04-21,1987.4
1988-04-22,2015.1
1988-04-25,2036.0
1988-04-26,2044.8
1988-04-27,2047.9
1988-04-28,2041.3
1988-04-29,2032.3
1988-05-02,2043.3
1988-05-03,2058.4
1988-05-04,2036.3
1988-05-05,2020.2
1988-05-06,2007.5
1988-05-09,1997.4
1988-05-10,2003.6
1988-05-11,1965.9
1988-05-12,1968.0
1988-05-13,1990.6
1988-05-16,2007.6
1988-05-17,1986.4
1988-05-18,1951.1
1988-05-19,1958.7
1988-05-20,1952.6
1988-05-23,1941.5
1988-05-24,1962.5
1988-05-25,1961.4
1988-05-26,1966.7
1988-05-27,1956.4
1988-05-31,2031.1
1988-06-01,2064.0
1988-06-02,2052.5
1988-06-03,2071.3
1988-06-06,2075.2
1988-06-07,2054.6
1988-06-08,2103.0
1988-06-09,2093.4
1988-06-10,2101.7
1988-06-13,2099.4
1988-06-14,2124.5
1988-06-15,2131.4
1988-06-16,2094.2
1988-06-17,2104.0
1988-06-20,2083.9
1988-06-21,2109.2
1988-06-22,2152.2
1988-06-23,2148.3
1988-06-24,2143.0
1988-06-27,2108.5
1988-06-28,2130.9
1988-06-29,2122.0
1988-06-30,2141.7
1988-07-01,2131.6
1988-07-05,2158.6
1988-07-06,2130.2
1988-07-07,2122.7
1988-07-08,2106.2
1988-07-11,2111.3
1988-07-12,2092.6
1988-07-13,2104.4
1988-07-14,2113.6
1988-07-15,2129.5
1988-07-18,2117.9
1988-07-19,2097.3
1988-07-20,2110.6
1988-07-21,2086.6
1988-07-22,2061.0
1988-07-25,2071.8
1988-07-26,2074.0
1988-07-27,2053.7
1988-07-28,2082.3
1988-07-29,2128.7
1988-08-01,2130.5
1988-08-02,2131.2
1988-08-03,2134.1
1988-08-04,2126.6
1988-08-05,2119.1
1988-08-08,2107.4
1988-08-09,2079.1
1988-08-10,2034.1
1988-08-11,2039.3
1988-08-12,2037.5
1988-08-15,2004.3
1988-08-16,2021.5
1988-08-17,2026.0
1988-08-18,2027.0
1988-08-19,2016.0
1988-08-22,1990.2
1988-08-23,1989.3
1988-08-24,2026.7
1988-08-25,2010.9
1988-08-26,2017.4
1988-08-29,2041.4
1988-08-30,2038.2
1988-08-31,2031.7
1988-09-01,2002.3
1988-09-02,2054.6
1988-09-06,2065.3
1988-09-07,2065.8
1988-09-08,2063.1
1988-09-09,2068.8
1988-09-12,2072.4
1988-09-13,2083.0
1988-09-14,2100.6
1988-09-15,2092.3
1988-09-16,2098.2
1988-09-19,2081.1
1988-09-20,2087.5
1988-09-21,2090.5
1988-09-22,2080.0
1988-09-23,2090.7
1988-09-26,2085.2
1988-09-27,2082.3
1988-09-28,2085.5
1988-09-29,2119.3
1988-09-30,2112.9
1988-10-03,2105.3
1988-10-04,2102.1
1988-10-05,2106.5
1988-10-06,2107.8
1988-10-07,2150.3
1988-10-10,2159.0
1988-10-11,2156.5
1988-10-12,2126.2
1988-10-13,2133.4
1988-10-14,2133.2
1988-10-17,2140.5
1988-10-18,2159.9
1988-10-19,2137.3
1988-10-20,2181.2
1988-10-21,2183.5
1988-10-24,2170.3
1988-10-25,2173.4
1988-10-26,2165.2
1988-10-27,2140.8
1988-10-28,2149.9
1988-10-31,2148.7
1988-11-01,2151.0
1988-11-02,2156.8
1988-11-03,2170.3
1988-11-04,2145.8
1988-11-07,2124.6
1988-11-08,2127.5
1988-11-09,2118.2
1988-11-10,2114.7
1988-11-11,2067.0
1988-11-14,2065.1
1988-11-15,2077.2
1988-11-16,2038.6
1988-11-17,2052.5
1988-11-18,2062.4
1988-11-21,2066.0
1988-11-22,2077.7
1988-11-23,2092.3
1988-11-25,2074.7
1988-11-28,2081.4
1988-11-29,2101.5
1988-11-30,2114.5
1988-12-01,2101.9
1988-12-02,2092.3
1988-12-05,2123.8
1988-12-06,2149.4
1988-12-07,2153.6
1988-12-08,2141.7
1988-12-09,2143.5
1988-12-12,2139.6
1988-12-13,2143.5
1988-12-14,2134.3
1988-12-15,2133.0
1988-12-16,2150.7
1988-12-19,2172.7
1988-12-20,2166.1
1988-12-21,2164.6
1988-12-22,2160.4
1988-12-23,2168.9
1988-12-27,2162.7
1988-12-28,2166.4
1988-12-29,2182.7
1988-12-30,2168.6
1989-01-03,2144.6
1989-01-04,2177.7
1989-01-05,2190.5
1989-01-06,2194.3
1989-01-09,2199.5
1989-01-10,2193.2
1989-01-11,2206.4
1989-01-12,2222.3
1989-01-13,2226.1
1989-01-16,2224.6
1989-01-17,2214.6
1989-01-18,2238.8
1989-01-19,2239.1
1989-01-20,2235.4
1989-01-23,2218.4
1989-01-24,2256.4
1989-01-25,2265.9
1989-01-26,2291.1
1989-01-27,2322.9
1989-01-30,2324.1
1989-01-31,2342.3
1989-02-01,2338.2
1989-02-02,2333.8
1989-02-03,2331.3
1989-02-06,2321.1
1989-02-07,2347.1
1989-02-08,2343.2
1989-02-09,2323.0
1989-02-10,2286.1
1989-02-13,2282.5
1989-02-14,2281.3
1989-02-15,2303.9
1989-02-16,2311.4
1989-02-17,2324.8
1989-02-21,2326.4
1989-02-22,2283.9
1989-02-23,2289.5
1989-02-24,2245.5
1989-02-27,2250.4
1989-02-28,2258.4
1989-03-01,2243.0
1989-03-02,2265.7
1989-03-03,2274.3
1989-03-06,2294.8
1989-03-07,2290.7
1989-03-08,2295.5
1989-03-09,2291.4
1989-03-10,2282.1
1989-03-13,2306.3
1989-03-14,2306.3
1989-03-15,2320.5
1989-03-16,2340.7
1989-03-17,2292.1
1989-03-20,2262.5
1989-03-21,2266.3
1989-03-22,2263.2
1989-03-23,2243.0
1989-03-27,2257.9
1989-03-28,2275.5
1989-03-29,2281.5
1989-03-30,2281.3
1989-03-31,2293.6
1989-04-03,2304.8
