Date,JPM.US
1989-01-18,4.7139
1989-01-19,4.64115
1989-01-20,4.65532
1989-01-23,4.60457
1989-01-24,4.7139
1989-01-25,4.7139
1989-01-26,4.80817
1989-01-27,4.8955
1989-01-30,4.88093
1989-01-31,4.80817
1989-02-01,4.84484
1989-02-02,4.9173
1989-02-03,4.84484
1989-02-06,4.78636
1989-02-07,4.85922
1989-02-08,4.8955
1989-02-09,4.7139
1989-02-10,4.72828
1989-02-13,4.77189
1989-02-14,4.75038
1989-02-15,4.7139
1989-02-16,4.78636
1989-02-17,4.78636
1989-02-21,4.72828
1989-02-22,4.64115
1989-02-23,4.60457
1989-02-24,4.53221
1989-02-27,4.56849
1989-02-28,4.61914
1989-03-01,4.56849
1989-03-02,4.58266
1989-03-03,4.54648
1989-03-06,4.54648
1989-03-07,4.61914
1989-03-08,4.61914
1989-03-09,4.67019
1989-03-10,4.62667
1989-03-13,4.62667
1989-03-14,4.68466
1989-03-15,4.76485
1989-03-16,4.93217
1989-03-17,5.1209
1989-03-20,4.99046
1989-03-21,5.02634
1989-03-22,5.02634
1989-03-23,4.93217
1989-03-27,4.99046
1989-03-28,5.04834
1989-03-29,5.08472
1989-03-30,5.3471
1989-03-31,5.46308
1989-04-03,5.44117
1989-04-04,5.31033
1989-04-05,5.25194
1989-04-06,5.19415
1989-04-07,5.19415
1989-04-10,5.23747
1989-04-11,5.3471
1989-04-12,5.27405
1989-04-13,5.23747
1989-04-14,5.27405
1989-04-17,5.19415
1989-04-18,5.31033
1989-04-19,5.38308
1989-04-20,5.36881
1989-04-21,5.41936
1989-04-24,5.41936
1989-04-25,5.46308
1989-04-26,5.47755
1989-04-27,5.49965
1989-04-28,5.44117
1989-05-01,5.47755
1989-05-02,5.40499
1989-05-03,5.31033
1989-05-04,5.25194
1989-05-05,5.21586
1989-05-08,5.21586
1989-05-09,5.17958
1989-05-10,5.19415
1989-05-11,5.08472
1989-05-12,5.1433
1989-05-15,5.1209
1989-05-16,5.15738
1989-05-17,5.1433
1989-05-18,5.23747
1989-05-19,5.38308
1989-05-22,5.44117
1989-05-23,5.3471
1989-05-24,5.28872
1989-05-25,5.27405
1989-05-26,5.28872
1989-05-30,5.31033
1989-05-31,5.3471
1989-06-01,5.41936
1989-06-02,5.57231
1989-06-05,5.55754
1989-06-06,5.47755
1989-06-07,5.59342
1989-06-08,5.57231
1989-06-09,5.56478
1989-06-12,5.4485
1989-06-13,5.35414
1989-06-14,5.41193
1989-06-15,5.35414
1989-06-16,5.39042
1989-06-19,5.48508
1989-06-20,5.56478
1989-06-21,5.48508
1989-06-22,5.52136
1989-06-23,5.60155
1989-06-26,5.54297
1989-06-27,5.60155
1989-06-28,5.60155
1989-06-29,5.52136
1989-06-30,5.52136
1989-07-03,5.54297
1989-07-05,5.52136
1989-07-06,5.54297
1989-07-07,5.62326
1989-07-10,5.71792
1989-07-11,5.79781
1989-07-12,5.81219
1989-07-13,5.83419
1989-07-14,5.81219
1989-07-17,5.77591
1989-07-18,5.68125
1989-07-19,5.69582
1989-07-20,5.65964
1989-07-21,5.69582
1989-07-24,5.7538
1989-07-25,5.73943
1989-07-26,5.77591
1989-07-27,5.84906
1989-07-28,5.87027
1989-07-31,5.98674
1989-08-01,5.96523
1989-08-02,6.00895
1989-08-03,6.00895
1989-08-04,5.87027
1989-08-07,6.02342
1989-08-08,5.96523
1989-08-09,5.90675
1989-08-10,5.96523
1989-08-11,5.95027
1989-08-14,5.90675
1989-08-15,5.89208
1989-08-16,5.89208
1989-08-17,5.81219
1989-08-18,5.81219
1989-08-21,5.73943
1989-08-22,5.73943
1989-08-23,5.77591
1989-08-24,5.83419
1989-08-25,5.7538
1989-08-28,5.81219
1989-08-29,5.81219
1989-08-30,5.89208
1989-08-31,5.87027
1989-09-01,5.89208
1989-09-05,5.87027
1989-09-06,5.69582
1989-09-07,5.77591
1989-09-08,5.79781
1989-09-11,5.81942
1989-09-12,5.81942
1989-09-13,5.78334
1989-09-14,5.72516
1989-09-15,5.70325
1989-09-18,5.92152
1989-09-19,5.92152
1989-09-20,6.00131
1989-09-21,6.17597
1989-09-22,6.11769
1989-09-25,6.09598
1989-09-26,6.01579
1989-09-27,6.0598
1989-09-28,6.25616
1989-09-29,6.40881
1989-10-02,6.43032
1989-10-03,6.43032
1989-10-04,6.40881
1989-10-05,6.37213
1989-10-06,6.40881
1989-10-09,6.45242
1989-10-10,6.35033
1989-10-11,6.31425
1989-10-12,6.19778
1989-10-13,5.56478
1989-10-16,5.78334
1989-10-17,5.64497
1989-10-18,5.66687
1989-10-19,5.66687
1989-10-20,5.60849
1989-10-23,5.49172
1989-10-24,5.43413
1989-10-25,5.4485
1989-10-26,5.31033
1989-10-27,5.27405
1989-10-30,5.13587
1989-10-31,5.27405
1989-11-01,5.25194
1989-11-02,5.17185
1989-11-03,5.17185
1989-11-06,4.90273
1989-11-07,4.88093
1989-11-08,5.04111
1989-11-09,5.0991
1989-11-10,5.0991
1989-11-13,5.07749
1989-11-14,5.05568
1989-11-15,5.0192
1989-11-16,5.0991
1989-11-17,5.13587
1989-11-20,4.98272
1989-11-21,4.99739
1989-11-22,5.05568
1989-11-24,5.07749
1989-11-27,5.13587
1989-11-28,5.11416
1989-11-29,5.04111
1989-11-30,4.98272
1989-12-01,5.0192
1989-12-04,5.13587
1989-12-05,5.0192
1989-12-06,5.04111
1989-12-07,5.0192
1989-12-08,5.0991
1989-12-11,5.16501
1989-12-12,5.1433
1989-12-13,5.04834
1989-12-14,5.04834
1989-12-15,5.00483
1989-12-18,4.68466
1989-12-19,4.62667
1989-12-20,4.76485
1989-12-21,4.76485
1989-12-22,4.74245
1989-12-26,4.74245
1989-12-27,4.72828
1989-12-28,4.80817
1989-12-29,4.78636
1990-01-02,4.80817
1990-01-03,4.96855
1990-01-04,4.98272
1990-01-05,5.00483
1990-01-08,5.00483
1990-01-09,4.84484
1990-01-10,4.82284
1990-01-11,4.76485
1990-01-12,4.72828
1990-01-15,4.72828
1990-01-16,4.70657
1990-01-17,4.68466
1990-01-18,4.64858
1990-01-19,4.62667
1990-01-22,4.4883
1990-01-23,4.36449
1990-01-24,4.3865
1990-01-25,4.34249
1990-01-26,4.24842
1990-01-29,4.14662
1990-01-30,4.04472
1990-01-31,4.12471
1990-02-01,4.16823
1990-02-02,4.183
1990-02-05,4.16823
1990-02-06,4.14662
1990-02-07,4.16823
1990-02-08,4.16823
1990-02-09,4.14662
1990-02-12,4.16823
1990-02-13,4.12471
1990-02-14,4.22632
1990-02-15,4.32821
1990-02-16,4.34249
1990-02-20,4.22632
1990-02-21,4.20451
1990-02-22,4.14662
1990-02-23,4.08794
1990-02-26,4.16823
1990-02-27,4.08794
1990-02-28,4.10271
1990-03-01,4.08794
1990-03-02,4.16823
1990-03-05,4.22632
1990-03-06,4.26279
1990-03-07,4.2847
1990-03-08,4.40831
1990-03-09,4.31374
1990-03-12,4.41544
1990-03-13,4.41544
1990-03-14,4.37232
1990-03-15,4.29213
1990-03-16,4.21184
1990-03-19,4.24842
1990-03-20,4.12471
1990-03-21,4.04472
1990-03-22,3.96433
1990-03-23,4.12471
1990-03-26,4.00081
1990-03-27,3.98604
1990-03-28,3.96433
1990-03-29,3.89911
1990-03-30,3.84083
1990-04-02,3.7753
1990-04-03,3.89911
1990-04-04,3.89911
1990-04-05,3.7753
1990-04-06,3.76083
1990-04-09,3.81912
1990-04-10,3.81912
1990-04-11,3.84083
1990-04-12,4.02282
1990-04-16,3.96433
1990-04-17,3.98604
1990-04-18,3.96433
1990-04-19,3.92092
1990-04-20,3.81912
1990-04-23,3.89911
1990-04-24,3.94272
1990-04-25,3.94272
1990-04-26,3.89911
1990-04-27,3.8772
1990-04-30,3.84083
1990-05-01,3.89911
1990-05-02,3.86273
1990-05-03,3.89911
1990-05-04,4.08794
1990-05-07,4.16823
1990-05-08,4.14662
