Date,MCD.US
1989-01-23,4.27112
1989-01-24,4.38595
1989-01-25,4.37191
1989-01-26,4.46558
1989-01-27,4.53016
1989-01-30,4.57309
1989-01-31,4.64528
1989-02-01,4.68802
1989-02-02,4.66684
1989-02-03,4.67407
1989-02-06,4.62382
1989-02-07,4.67407
1989-02-08,4.64528
1989-02-09,4.60919
1989-02-10,4.56617
1989-02-13,4.53016
1989-02-14,4.54431
1989-02-15,4.60197
1989-02-16,4.4726
1989-02-17,4.60197
1989-02-21,4.60919
1989-02-22,4.53016
1989-02-23,4.53016
1989-02-24,4.48694
1989-02-27,4.48694
1989-02-28,4.5083
1989-03-01,4.48694
1989-03-02,4.54431
1989-03-03,4.53016
1989-03-06,4.56617
1989-03-07,4.55181
1989-03-08,4.57309
1989-03-09,4.54431
1989-03-10,4.52284
1989-03-13,4.53016
1989-03-14,4.52284
1989-03-15,4.52284
1989-03-16,4.55181
1989-03-17,4.44342
1989-03-20,4.40801
1989-03-21,4.44342
1989-03-22,4.42255
1989-03-23,4.32156
1989-03-27,4.38595
1989-03-28,4.42255
1989-03-29,4.53016
1989-03-30,4.60197
1989-03-31,4.58733
1989-04-03,4.66684
1989-04-04,4.60919
1989-04-05,4.62382
1989-04-06,4.63084
1989-04-07,4.6524
1989-04-10,4.63084
1989-04-11,4.64528
1989-04-12,4.71007
1989-04-13,4.67407
1989-04-14,4.79612
1989-04-17,4.77436
1989-04-18,4.81036
1989-04-19,4.789
1989-04-20,4.77436
1989-04-21,4.85348
1989-04-24,4.79612
1989-04-25,4.789
1989-04-26,4.789
1989-04-27,4.88959
1989-04-28,4.91085
1989-05-01,4.94715
1989-05-02,4.91085
1989-05-03,4.94715
1989-05-04,4.96851
1989-05-05,4.96851
1989-05-08,4.96851
1989-05-09,4.95407
1989-05-10,4.9973
1989-05-11,5.0695
1989-05-12,5.16989
1989-05-15,5.24912
1989-05-16,5.15545
1989-05-17,5.11253
1989-05-18,5.07652
1989-05-19,5.16989
1989-05-22,5.3139
1989-05-23,5.24912
1989-05-24,5.17731
1989-05-25,5.19145
1989-05-26,5.24912
1989-05-30,5.29224
1989-05-31,5.32132
1989-06-01,5.3139
1989-06-02,5.33527
1989-06-05,5.25624
1989-06-06,5.24912
1989-06-07,5.22024
1989-06-08,5.23468
1989-06-09,5.23468
1989-06-12,5.19907
1989-06-13,5.11975
1989-06-14,5.11975
1989-06-15,5.09798
1989-06-16,5.07652
1989-06-19,5.17731
1989-06-20,5.33527
1989-06-21,5.04794
1989-06-22,5.24912
1989-06-23,5.44337
1989-06-26,5.24912
1989-06-27,5.35713
1989-06-28,5.3139
1989-06-29,5.15545
1989-06-30,5.22024
1989-07-03,5.17731
1989-07-05,5.17731
1989-07-06,5.09096
1989-07-07,5.17731
1989-07-10,5.19907
1989-07-11,5.27068
1989-07-12,5.3139
1989-07-13,5.35713
1989-07-14,5.37879
1989-07-17,5.29224
1989-07-18,5.37879
1989-07-19,5.51498
1989-07-20,5.57987
1989-07-21,5.62289
1989-07-24,5.19907
1989-07-25,5.24912
1989-07-26,5.35713
1989-07-27,5.47196
1989-07-28,5.42161
1989-07-31,5.5583
1989-08-01,5.51498
1989-08-02,5.51498
1989-08-03,5.40005
1989-08-04,5.35713
1989-08-07,5.29224
1989-08-08,5.29224
1989-08-09,5.19907
1989-08-10,5.37879
1989-08-11,5.11253
1989-08-14,5.17731
1989-08-15,5.24912
1989-08-16,5.19907
1989-08-17,5.22024
1989-08-18,5.29224
1989-08-21,5.24912
1989-08-22,5.13409
1989-08-23,5.19907
1989-08-24,5.29224
1989-08-25,5.19907
1989-08-28,5.22024
1989-08-29,5.19907
1989-08-30,5.15545
1989-08-31,5.15545
1989-09-01,5.19907
1989-09-05,5.15545
1989-09-06,5.19907
1989-09-07,5.13409
1989-09-08,5.15545
1989-09-11,5.17731
1989-09-12,5.29224
1989-09-13,5.29224
1989-09-14,5.27068
1989-09-15,5.3139
1989-09-18,5.44337
1989-09-19,5.40005
1989-09-20,5.40005
1989-09-21,5.40005
1989-09-22,5.35713
1989-09-25,5.33527
1989-09-26,5.29224
1989-09-27,5.33527
1989-09-28,5.42161
1989-09-29,5.3139
1989-10-02,5.3139
1989-10-03,5.44337
1989-10-04,5.35713
1989-10-05,5.33527
1989-10-06,5.40005
1989-10-09,5.37879
1989-10-10,5.42161
1989-10-11,5.37879
1989-10-12,5.33527
1989-10-13,5.17731
1989-10-16,5.44337
1989-10-17,5.47196
1989-10-18,5.37879
1989-10-19,5.37879
1989-10-20,5.42161
1989-10-23,5.60143
1989-10-24,5.84582
1989-10-25,5.62289
1989-10-26,5.57987
1989-10-27,5.51498
1989-10-30,5.47196
1989-10-31,5.53684
1989-11-01,5.51498
1989-11-02,5.47196
1989-11-03,5.49342
1989-11-06,5.37879
1989-11-07,5.44337
1989-11-08,5.51498
1989-11-09,5.51498
1989-11-10,5.57987
1989-11-13,5.60143
1989-11-14,5.62289
1989-11-15,5.60143
1989-11-16,5.57987
1989-11-17,5.62289
1989-11-20,5.60143
1989-11-21,5.78123
1989-11-22,5.84582
1989-11-24,5.86719
1989-11-27,5.89636
1989-11-28,5.86719
1989-11-29,5.78123
1989-11-30,5.86719
1989-12-01,5.98251
1989-12-04,6.02564
1989-12-05,6.02564
1989-12-06,6.0472
1989-12-07,6.0472
1989-12-08,6.09754
1989-12-11,6.0472
1989-12-12,6.06886
1989-12-13,6.1194
1989-12-14,6.09754
1989-12-15,6.1194
1989-12-18,6.0472
1989-12-19,5.98251
1989-12-20,5.86719
1989-12-21,5.96135
1989-12-22,5.93939
