Date,CVX.US
1988-09-27,3.9267
1988-09-28,3.96478
1988-09-29,3.99642
1988-09-30,3.99017
1988-10-03,3.96478
1988-10-04,3.92025
1988-10-05,3.99017
1988-10-06,4.00902
1988-10-07,4.15512
1988-10-10,4.10463
1988-10-11,4.18071
1988-10-12,4.2061
1988-10-13,4.21264
1988-10-14,4.26987
1988-10-17,4.31401
1988-10-18,4.31401
1988-10-19,4.26987
1988-10-20,4.29536
1988-10-21,4.29536
1988-10-24,4.23804
1988-10-25,4.29536
1988-10-26,4.30766
1988-10-27,4.25073
1988-10-28,4.28237
1988-10-31,4.28237
1988-11-01,4.26343
1988-11-02,4.23804
1988-11-03,4.26343
1988-11-04,4.17446
1988-11-07,4.17446
1988-11-08,4.2061
1988-11-09,4.15512
1988-11-10,4.17446
1988-11-11,4.05345
1988-11-14,4.0474
1988-11-15,4.05345
1988-11-16,4.02211
1988-11-17,4.06674
1988-11-18,4.06674
1988-11-21,4.02826
1988-11-22,4.12338
1988-11-23,4.10463
1988-11-25,4.1934
1988-11-28,4.1934
1988-11-29,4.23159
1988-11-30,4.23804
1988-12-01,4.2061
1988-12-02,4.14887
1988-12-05,4.13637
1988-12-06,4.1934
1988-12-07,4.25073
1988-12-08,4.25073
1988-12-09,4.25073
1988-12-12,4.26343
1988-12-13,4.23804
1988-12-14,4.26343
1988-12-15,4.25073
1988-12-16,4.26987
1988-12-19,4.32066
1988-12-20,4.3398
1988-12-21,4.3398
1988-12-22,4.35864
1988-12-23,4.37144
1988-12-27,4.33305
1988-12-28,4.29536
1988-12-29,4.29536
1988-12-30,4.23804
1989-01-03,4.23804
1989-01-04,4.29536
1989-01-05,4.37144
1989-01-06,4.37788
1989-01-09,4.39068
1989-01-10,4.39068
1989-01-11,4.44751
1989-01-12,4.49869
1989-01-13,4.47965
1989-01-16,4.473
1989-01-17,4.49869
1989-01-18,4.55562
1989-01-19,4.53033
1989-01-20,4.56187
1989-01-23,4.53033
1989-01-24,4.49869
1989-01-25,4.44751
1989-01-26,4.57467
1989-01-27,4.6065
1989-01-30,4.62575
1989-01-31,4.66373
1989-02-01,4.6065
1989-02-02,4.55562
1989-02-03,4.59411
1989-02-06,4.61265
1989-02-07,4.68912
1989-02-08,4.63824
1989-02-09,4.57467
1989-02-10,4.49205
1989-02-13,4.49869
1989-02-14,4.49205
1989-02-15,4.49869
1989-02-16,4.55562
1989-02-17,4.63824
1989-02-21,4.66373
1989-02-22,4.57467
1989-02-23,4.61265
1989-02-24,4.52398
1989-02-27,4.54937
1989-02-28,4.55562
1989-03-01,4.58091
1989-03-02,4.67633
1989-03-03,4.74635
