Date,PG.US
1988-06-08,3.43093
1988-06-09,3.42377
1988-06-10,3.41722
1988-06-13,3.44504
1988-06-14,3.4665
1988-06-15,3.45239
1988-06-16,3.37439
1988-06-17,3.40261
1988-06-20,3.3887
1988-06-21,3.38155
1988-06-22,3.43093
1988-06-23,3.42377
1988-06-24,3.42377
1988-06-27,3.36704
1988-06-28,3.36704
1988-06-29,3.36048
1988-06-30,3.41722
1988-07-01,3.39576
1988-07-05,3.44504
1988-07-06,3.38155
1988-07-07,3.37439
1988-07-08,3.31806
1988-07-11,3.32442
1988-07-12,3.28249
1988-07-13,3.26103
1988-07-14,3.27484
1988-07-15,3.30326
1988-07-18,3.27484
1988-07-19,3.23977
1988-07-20,3.26103
1988-07-21,3.24662
1988-07-22,3.23271
1988-07-25,3.22556
1988-07-26,3.23271
1988-07-27,3.16177
1988-07-28,3.22556
1988-07-29,3.31041
1988-08-01,3.30326
1988-08-02,3.33177
1988-08-03,3.32442
1988-08-04,3.32442
1988-08-05,3.31806
1988-08-08,3.2964
1988-08-09,3.24662
1988-08-10,3.19695
1988-08-11,3.21135
1988-08-12,3.18284
1988-08-15,3.17598
1988-08-16,3.19695
1988-08-17,3.2045
1988-08-18,3.21861
1988-08-19,3.23977
1988-08-22,3.2045
1988-08-23,3.21861
1988-08-24,3.26808
1988-08-25,3.25398
1988-08-26,3.25398
1988-08-29,3.28915
1988-08-30,3.2964
1988-08-31,3.28915
1988-09-01,3.28915
1988-09-02,3.37439
1988-09-06,3.42377
1988-09-07,3.43828
1988-09-08,3.44504
1988-09-09,3.45239
1988-09-12,3.49511
1988-09-13,3.51617
1988-09-14,3.51617
1988-09-15,3.50187
1988-09-16,3.49511
1988-09-19,3.4805
1988-09-20,3.47385
1988-09-21,3.47385
1988-09-22,3.47385
1988-09-23,3.47385
1988-09-26,3.45984
1988-09-27,3.43828
1988-09-28,3.43828
1988-09-29,3.50902
1988-09-30,3.52333
1988-10-03,3.51617
1988-10-04,3.49511
1988-10-05,3.50902
1988-10-06,3.51617
1988-10-07,3.56585
1988-10-10,3.5589
1988-10-11,3.60152
1988-10-12,3.56585
1988-10-13,3.60152
1988-10-14,3.60808
1988-10-17,3.57291
1988-10-18,3.61573
1988-10-19,3.60152
1988-10-20,3.64384
1988-10-21,3.72174
1988-10-24,3.70048
1988-10-25,3.67226
1988-10-26,3.67226
1988-10-27,3.62219
1988-10-28,3.6507
1988-10-31,3.64384
1988-11-01,3.6507
1988-11-02,3.67226
1988-11-03,3.71498
1988-11-04,3.72869
1988-11-07,3.62219
1988-11-08,3.62219
1988-11-09,3.61573
1988-11-10,3.61573
1988-11-11,3.52333
1988-11-14,3.48806
1988-11-15,3.53028
1988-11-16,3.49511
1988-11-17,3.49511
1988-11-18,3.52333
1988-11-21,3.57291
1988-11-22,3.57996
1988-11-23,3.57291
1988-11-25,3.53753
1988-11-28,3.55135
1988-11-29,3.60152
1988-11-30,3.60808
1988-12-01,3.61573
1988-12-02,3.60152
1988-12-05,3.65805
1988-12-06,3.71498
1988-12-07,3.71498
1988-12-08,3.70048
1988-12-09,3.70048
1988-12-12,3.70743
1988-12-13,3.70743
1988-12-14,3.70743
1988-12-15,3.69352
1988-12-16,3.73595
1988-12-19,3.77837
1988-12-20,3.77122
1988-12-21,3.77837
1988-12-22,3.79973
1988-12-23,3.81414
1988-12-27,3.79288
1988-12-28,3.79288
1988-12-29,3.79973
1988-12-30,3.8351
1989-01-03,3.72174
1989-01-04,3.76446
1989-01-05,3.77122
1989-01-06,3.79973
1989-01-09,3.84226
1989-01-10,3.90624
1989-01-11,3.87087
1989-01-12,3.86322
