Date,CAT.US
1988-09-28,4.02258
1988-09-29,4.10411
1988-09-30,4.11871
1988-10-03,4.15526
1988-10-04,4.15526
1988-10-05,4.13331
1988-10-06,4.19985
1988-10-07,4.28803
1988-10-10,4.30263
1988-10-11,4.30263
1988-10-12,4.22934
1988-10-13,4.23639
1988-10-14,4.22934
1988-10-17,4.22934
1988-10-18,4.22934
1988-10-19,4.2216
1988-10-20,4.39827
1988-10-21,4.56808
1988-10-24,4.56044
1988-10-25,4.54574
1988-10-26,4.4795
1988-10-27,4.44295
1988-10-28,4.47235
1988-10-31,4.43531
1988-11-01,4.39827
1988-11-02,4.39131
1988-11-03,4.43531
1988-11-04,4.38377
1988-11-07,4.33213
1988-11-08,4.38377
1988-11-09,4.35447
1988-11-10,4.38377
1988-11-11,4.31763
1988-11-14,4.35447
1988-11-15,4.34712
1988-11-16,4.30988
1988-11-17,4.39131
1988-11-18,4.50194
1988-11-21,4.43531
1988-11-22,4.45716
1988-11-23,4.58278
1988-11-25,4.55299
1988-11-28,4.59013
1988-11-29,4.61972
1988-11-30,4.55299
1988-12-01,4.50194
1988-12-02,4.44295
1988-12-05,4.59013
1988-12-06,4.60473
1988-12-07,4.58278
1988-12-08,4.55299
1988-12-09,4.51654
1988-12-12,4.54574
1988-12-13,4.4795
1988-12-14,4.48715
1988-12-15,4.45716
1988-12-16,4.44295
1988-12-19,4.50194
1988-12-20,4.55299
1988-12-21,4.59013
1988-12-22,4.55299
1988-12-23,4.56044
1988-12-27,4.56808
1988-12-28,4.56044
1988-12-29,4.59738
1988-12-30,4.56808
1989-01-03,4.56808
1989-01-04,4.66382
1989-01-05,4.73025
1989-01-06,4.78189
1989-01-09,4.78894
1989-01-10,4.81139
1989-01-11,4.84039
1989-01-12,4.84039
1989-01-13,4.87028
1989-01-16,4.86263
1989-01-17,4.82579
1989-01-18,4.89232
1989-01-19,4.41316
1989-01-20,4.32498
1989-01-23,4.29548
1989-01-24,4.33938
1989-01-25,4.32498
1989-01-26,4.33213
1989-01-27,4.37652
1989-01-30,4.38377
1989-01-31,4.4652
1989-02-01,4.42806
1989-02-02,4.45011
1989-02-03,4.43531
1989-02-06,4.42061
1989-02-07,4.43531
1989-02-08,4.43531
1989-02-09,4.40591
1989-02-10,4.30988
1989-02-13,4.30988
1989-02-14,4.28803
1989-02-15,4.25099
1989-02-16,4.27324
1989-02-17,4.28803
1989-02-21,4.33213
1989-02-22,4.30263
1989-02-23,4.30988
1989-02-24,4.25854
1989-02-27,4.25099
1989-02-28,4.23639
1989-03-01,4.22934
1989-03-02,4.2216
1989-03-03,4.15526
1989-03-06,4.14791
1989-03-07,4.18465
1989-03-08,4.1921
1989-03-09,4.23639
1989-03-10,4.2071
1989-03-13,4.2071
1989-03-14,4.2071
1989-03-15,4.2216
1989-03-16,4.2216
1989-03-17,4.14086
1989-03-20,4.12557
1989-03-21,4.12557
1989-03-22,4.09617
1989-03-23,4.10411
1989-03-27,4.13331
1989-03-28,4.11087
1989-03-29,4.11087
1989-03-30,4.09617
1989-03-31,4.12557
1989-04-03,4.1921
1989-04-04,4.21415
1989-04-05,4.1775
1989-04-06,4.14791
1989-04-07,4.17025
1989-04-10,4.21415
1989-04-11,4.29548
1989-04-12,4.30263
1989-04-13,4.25854
1989-04-14,4.25854
1989-04-17,4.23639
1989-04-18,4.27324
1989-04-19,4.29548
1989-04-20,4.39131
1989-04-21,4.39131
1989-04-24,4.39827
1989-04-25,4.34712
1989-04-26,4.36917
1989-04-27,4.39131
1989-04-28,4.39131
1989-05-01,4.36917
1989-05-02,4.39131
1989-05-03,4.43531
1989-05-04,4.33213
1989-05-05,4.28059
1989-05-08,4.25854
1989-05-09,4.24394
1989-05-10,4.25099
1989-05-11,4.29548
1989-05-12,4.42806
1989-05-15,4.53104
1989-05-16,4.51654
1989-05-17,4.59738
1989-05-18,4.58278
1989-05-19,4.66382
1989-05-22,4.63422
1989-05-23,4.54574
1989-05-24,4.5088
1989-05-25,4.51654
1989-05-26,4.56044
1989-05-30,4.59738
1989-05-31,4.63422
1989-06-01,4.54574
1989-06-02,4.5088
1989-06-05,4.45011
1989-06-06,4.4942
1989-06-07,4.4942
1989-06-08,4.47235
1989-06-09,4.40591
1989-06-12,4.35447
1989-06-13,4.34712
1989-06-14,4.28059
1989-06-15,4.28059
1989-06-16,4.29548
1989-06-19,4.28059
1989-06-20,4.23639
1989-06-21,4.25099
1989-06-22,4.27324
1989-06-23,4.31763
1989-06-26,4.31763
1989-06-27,4.32498
1989-06-28,4.28059
1989-06-29,4.22934
1989-06-30,4.2071
1989-07-03,4.21415
1989-07-05,4.2071
1989-07-06,4.23639
1989-07-07,4.23639
1989-07-10,4.29548
1989-07-11,4.34712
1989-07-12,4.32498
1989-07-13,4.32498
1989-07-14,4.33938
1989-07-17,4.35447
1989-07-18,4.33213
1989-07-19,4.37652
1989-07-20,4.39131
1989-07-21,4.29548
1989-07-24,4.1921
1989-07-25,4.15526
1989-07-26,4.2216
1989-07-27,4.28059
1989-07-28,4.31763
1989-07-31,4.33213
1989-08-01,4.38377
1989-08-02,4.39827
1989-08-03,4.42061
1989-08-04,4.42806
1989-08-07,4.59013
1989-08-08,4.64177
1989-08-09,4.64902
1989-08-10,4.66382
1989-08-11,4.64902
1989-08-14,4.61228
1989-08-15,4.59013
1989-08-16,4.59013
1989-08-17,4.58278
1989-08-18,4.56808
1989-08-21,4.55299
1989-08-22,4.55299
1989-08-23,4.59013
1989-08-24,4.80354
1989-08-25,4.70076
1989-08-28,4.74515
1989-08-29,4.7229
1989-08-30,4.70076
1989-08-31,4.68596
1989-09-01,4.767
1989-09-05,4.767
1989-09-06,4.70076
1989-09-07,4.69341
1989-09-08,4.64177
1989-09-11,4.62668
1989-09-12,4.61228
1989-09-13,4.57513
1989-09-14,4.54574
1989-09-15,4.54574
1989-09-18,4.50194
1989-09-19,4.52389
1989-09-20,4.50194
1989-09-21,4.52389
1989-09-22,4.5088
1989-09-25,4.47235
1989-09-26,4.43531
1989-09-27,4.45011
1989-09-28,4.47235
1989-09-29,4.45011
1989-10-02,4.47235
1989-10-03,4.48715
1989-10-04,4.47235
1989-10-05,4.50194
1989-10-06,4.4942
1989-10-09,4.48715
1989-10-10,4.45011
1989-10-11,4.41316
1989-10-12,4.42061
1989-10-13,4.25854
1989-10-16,4.29548
1989-10-17,4.30263
1989-10-18,4.25854
1989-10-19,4.29548
1989-10-20,4.25099
1989-10-23,4.1921
1989-10-24,4.2071
1989-10-25,4.1775
1989-10-26,4.10411
1989-10-27,4.05962
1989-10-30,4.09617
1989-10-31,4.1921
1989-11-01,4.14791
1989-11-02,4.05962
1989-11-03,3.99339
1989-11-06,3.92705
1989-11-07,3.9049
1989-11-08,4.02258
1989-11-09,4.00083
1989-11-10,4.03033
1989-11-13,4.11087
1989-11-14,4.06677
1989-11-15,4.10411
1989-11-16,4.10411
1989-11-17,4.21415
1989-11-20,4.2071
1989-11-21,4.21415
1989-11-22,4.26589
1989-11-24,4.25854
1989-11-27,4.32498
1989-11-28,4.32498
1989-11-29,4.33213
1989-11-30,4.29548
1989-12-01,4.37652
1989-12-04,4.43531
1989-12-05,4.36917
1989-12-06,4.35447
1989-12-07,4.35447
1989-12-08,4.39827
1989-12-11,4.39131
1989-12-12,4.40591
1989-12-13,4.43531
1989-12-14,4.41316
1989-12-15,4.39827
1989-12-18,4.36122
1989-12-19,4.33938
1989-12-20,4.36122
1989-12-21,4.2216
1989-12-22,4.07432
1989-12-26,4.11087
1989-12-27,4.14086
1989-12-28,4.1775
1989-12-29,4.24394
1990-01-02,4.31763
1990-01-03,4.36122
1990-01-04,4.37652
1990-01-05,4.35447
1990-01-08,4.32498
1990-01-09,4.29548
1990-01-10,4.30263
1990-01-11,4.30263
1990-01-12,4.22934
1990-01-15,4.21415
1990-01-16,4.19985
1990-01-17,4.04523
1990-01-18,4.08197
1990-01-19,4.05962
1990-01-22,4.01533
1990-01-23,4.06677
1990-01-24,4.10411
1990-01-25,4.05962
1990-01-26,4.04523
1990-01-29,4.02258
1990-01-30,4.01533
1990-01-31,4.08197
1990-02-01,4.08912
1990-02-02,4.09617
1990-02-05,4.06677
1990-02-06,4.05247
1990-02-07,4.06677
1990-02-08,4.13331
1990-02-09,4.10411
1990-02-12,4.08197
1990-02-13,4.08197
1990-02-14,4.08912
1990-02-15,4.11871
1990-02-16,4.14086
1990-02-20,4.12557
1990-02-21,4.1775
1990-02-22,4.23639
1990-02-23,4.25099
1990-02-26,4.35447
1990-02-27,4.42806
1990-02-28,4.4652
1990-03-01,4.45011
1990-03-02,4.57513
