Date,INTC.US
1987-08-26,0.806359
1987-08-27,0.813388
1987-08-28,0.778144
1987-08-31,0.770917
1987-09-01,0.770917
1987-09-02,0.764383
1987-09-03,0.778144
1987-09-04,0.792301
1987-09-08,0.778144
1987-09-09,0.778144
1987-09-10,0.79933
1987-09-11,0.79933
1987-09-14,0.79933
1987-09-15,0.792301
1987-09-16,0.792301
1987-09-17,0.79933
1987-09-18,0.813388
1987-09-21,0.792301
1987-09-22,0.820517
1987-09-23,0.84893
1987-09-24,0.855959
1987-09-25,0.84893
1987-09-28,0.855959
1987-09-29,0.842099
1987-09-30,0.84893
1987-10-01,0.891401
1987-10-02,0.91229
1987-10-05,0.92021
1987-10-06,0.891401
1987-10-07,0.891401
1987-10-08,0.870215
1987-10-09,0.877541
1987-10-12,0.870215
1987-10-13,0.855959
1987-10-14,0.827942
1987-10-15,0.79933
1987-10-16,0.764383
1987-10-19,0.615486
1987-10-20,0.572619
1987-10-21,0.594597
1987-10-22,0.516288
1987-10-23,0.48838
1987-10-26,0.39618
1987-10-27,0.424366
1987-10-28,0.466877
1987-10-29,0.587073
1987-10-30,0.572619
1987-11-02,0.58044
1987-11-03,0.572619
1987-11-04,0.58044
1987-11-05,0.622515
1987-11-06,0.58044
1987-11-09,0.516288
1987-11-10,0.48838
1987-11-11,0.502428
1987-11-12,0.544701
1987-11-13,0.530544
1987-11-16,0.530544
1987-11-17,0.48838
1987-11-18,0.509259
1987-11-19,0.474015
1987-11-20,0.474015
1987-11-23,0.48838
1987-11-24,0.530544
1987-11-25,0.523317
1987-11-27,0.502428
1987-11-30,0.474015
1987-12-01,0.480935
1987-12-02,0.495003
1987-12-03,0.466877
1987-12-04,0.459848
1987-12-07,0.495003
1987-12-08,0.530544
1987-12-09,0.558759
1987-12-10,0.530544
1987-12-11,0.530544
1987-12-14,0.565986
1987-12-15,0.558759
1987-12-16,0.572619
1987-12-17,0.565986
1987-12-18,0.587073
1987-12-21,0.608457
1987-12-22,0.601131
1987-12-23,0.608457
1987-12-24,0.601131
1987-12-28,0.551829
1987-12-29,0.572619
1987-12-30,0.587073
1987-12-31,0.58044
1988-01-04,0.608457
1988-01-05,0.615486
