Date,IBM.US
1989-12-20,15.6715
1989-12-21,15.7515
1989-12-22,15.7891
1989-12-26,15.6518
1989-12-27,15.6923
1989-12-28,15.5837
1989-12-29,15.5837
1990-01-02,16.2305
1990-01-03,16.3737
1990-01-04,16.5633
1990-01-05,16.5149
1990-01-08,16.6206
1990-01-09,16.4557
1990-01-10,16.3954
1990-01-11,16.5367
1990-01-12,16.2108
1990-01-15,16.2473
1990-01-16,16.5811
1990-01-17,16.3737
1990-01-18,16.4764
1990-01-19,16.3293
1990-01-22,16.0024
1990-01-23,16.0241
1990-01-24,16.1456
1990-01-25,15.877
1990-01-26,16.0448
1990-01-29,16.1021
1990-01-30,16.1021
1990-01-31,16.3293
1990-02-01,16.1871
1990-02-02,16.2898
1990-02-05,16.4952
1990-02-06,16.7292
1990-02-07,17.0759
1990-02-08,17.0156
1990-02-09,16.9732
1990-02-12,16.748
1990-02-13,17.1005
1990-02-14,17.1805
1990-02-15,17.1805
1990-02-16,17.14
1990-02-20,17.0344
1990-02-21,17.3692
1990-02-22,17.1005
1990-02-23,16.9949
1990-02-26,17.22
1990-02-27,17.1805
1990-02-28,17.1993
1990-03-01,17.22
1990-03-02,17.3692
1990-03-05,17.385
1990-03-06,17.5143
1990-03-07,17.4719
1990-03-08,17.7197
1990-03-09,17.6378
1990-03-12,17.8442
1990-03-13,17.5943
1990-03-14,17.5943
1990-03-15,17.7197
1990-03-16,17.9864
1990-03-19,18.0526
1990-03-20,17.8847
1990-03-21,17.7592
1990-03-22,17.6378
1990-03-23,17.385
1990-03-26,17.2398
1990-03-27,17.305
1990-03-28,17.5331
1990-03-29,17.5509
1990-03-30,17.5736
1990-04-02,17.5331
1990-04-03,17.6605
1990-04-04,17.6378
1990-04-05,17.5736
1990-04-06,17.5331
1990-04-09,17.4719
1990-04-10,17.5331
1990-04-11,17.6121
1990-04-12,17.7395
1990-04-16,18.3567
1990-04-17,18.4041
1990-04-18,18.1997
1990-04-19,18.0703
1990-04-20,18.1118
1990-04-23,18.1118
1990-04-24,18.0298
1990-04-25,18.1118
1990-04-26,18.0121
1990-04-27,17.78
1990-04-30,18.0526
1990-05-01,17.8847
1990-05-02,18.0703
1990-05-03,18.0921
1990-05-04,18.2975
1990-05-07,18.2975
1990-05-08,18.337
1990-05-09,18.4239
1990-05-10,18.6115
1990-05-11,18.8772
1990-05-14,18.9216
1990-05-15,19.1497
1990-05-16,19.1092
1990-05-17,19.2287
1990-05-18,19.1092
1990-05-21,19.3769
