Date,KO.US
1987-06-25,2.00243
1987-06-26,1.96371
1987-06-29,1.98129
1987-06-30,1.94654
1987-07-01,1.92181
1987-07-02,1.92539
1987-07-06,1.88359
1987-07-07,1.90424
1987-07-08,1.93214
1987-07-09,1.92181
1987-07-10,1.94257
1987-07-13,1.90424
1987-07-14,1.94257
1987-07-15,1.96371
1987-07-16,1.96729
1987-07-17,2.05803
1987-07-20,2.03381
1987-07-21,2.00243
1987-07-22,2.03381
1987-07-23,2.05803
1987-07-24,2.05178
1987-07-27,2.0621
1987-07-28,2.05178
1987-07-29,2.07233
1987-07-30,2.0899
1987-07-31,2.08295
1987-08-03,2.06865
1987-08-04,2.07233
1987-08-05,2.07233
1987-08-06,2.12822
1987-08-07,2.1315
1987-08-10,2.17012
1987-08-11,2.19832
1987-08-12,2.19832
1987-08-13,2.20884
1987-08-14,2.19832
1987-08-17,2.21589
1987-08-18,2.19832
1987-08-19,2.19832
1987-08-20,2.23336
1987-08-21,2.20884
1987-08-24,2.24379
1987-08-25,2.28211
1987-08-26,2.27536
1987-08-27,2.25421
1987-08-28,2.21946
1987-08-31,2.21589
1987-09-01,2.20884
1987-09-02,2.24756
1987-09-03,2.25421
1987-09-04,2.21589
1987-09-08,2.15662
1987-09-09,2.15662
1987-09-10,2.15662
1987-09-11,2.16704
1987-09-14,2.19832
1987-09-15,2.14212
1987-09-16,2.07918
1987-09-17,2.09675
1987-09-18,2.10728
1987-09-21,2.07918
1987-09-22,2.1596
1987-09-23,2.1596
1987-09-24,2.10728
1987-09-25,2.10728
1987-09-28,2.15662
1987-09-29,2.1315
1987-09-30,2.1178
1987-10-01,2.16704
1987-10-02,2.1315
1987-10-05,2.10023
1987-10-06,2.04423
1987-10-07,2.00243
1987-10-08,1.99528
1987-10-09,1.98129
1987-10-12,1.96371
1987-10-13,2.05178
1987-10-14,1.91477
1987-10-15,1.90424
1987-10-16,1.7713
1987-10-19,1.33366
1987-10-20,1.59647
1987-10-21,1.80635
1987-10-22,1.7713
1987-10-23,1.73963
1987-10-26,1.58614
1987-10-27,1.64144
1987-10-28,1.69436
1987-10-29,1.83733
